fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
9,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09741020202636719
9,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09741020202636719
9,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09741020202636719
9,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09741020202636719
9,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.28172767162323
9,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.3003007173538208
9,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.067227840423584
9,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.9679527282714844
9,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.25263118743896484
9,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.25970351696014404
9,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0114294290542603
9,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9243951439857483
9,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.22817885875701904
9,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.23026788234710693
9,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1606955528259277
9,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1190459728240967
9,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.22742533683776855
9,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.22581100463867188
9,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1523466110229492
9,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1091405153274536
