family,metric,metric_order,species,fold,model_type,model_label,score,score_name
Cycle consistency,Per-sample,1,Human,0,FlowTransOP,FlowTransOP,0.7933322589575772,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,0,permuted_both,Permuted both,0.00168306416327264,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,0,permuted_human,Permuted human,8.4811080926581e-4,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,0,permuted_mouse,Permuted mouse,0.7962299044616838,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,1,FlowTransOP,FlowTransOP,0.8036919905605411,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,1,permuted_both,Permuted both,0.00117337358135334,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,1,permuted_human,Permuted human,0.00184090752422403,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,1,permuted_mouse,Permuted mouse,0.8072096825285102,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,2,FlowTransOP,FlowTransOP,0.7993104825934552,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,2,permuted_both,Permuted both,0.0016019854832777,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,2,permuted_human,Permuted human,0.00139873353072561,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,2,permuted_mouse,Permuted mouse,0.808128763086958,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,3,FlowTransOP,FlowTransOP,0.7976081638007044,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,3,permuted_both,Permuted both,0.00112351295730198,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,3,permuted_human,Permuted human,0.00245446096600019,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,3,permuted_mouse,Permuted mouse,0.8079459899332917,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,4,FlowTransOP,FlowTransOP,0.8033331558632751,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,4,permuted_both,Permuted both,0.00132268936789724,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,4,permuted_human,Permuted human,0.00153757765787154,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,4,permuted_mouse,Permuted mouse,0.7987045915330571,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,5,FlowTransOP,FlowTransOP,0.7996540348463113,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,5,permuted_both,Permuted both,0.00191918315696813,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,5,permuted_human,Permuted human,0.00214153862083579,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,5,permuted_mouse,Permuted mouse,0.8078111067083751,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,6,FlowTransOP,FlowTransOP,0.8070848651327,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,6,permuted_both,Permuted both,-0.00230354897365313,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,6,permuted_human,Permuted human,0.00230701610494334,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,6,permuted_mouse,Permuted mouse,0.8044794934707715,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,7,FlowTransOP,FlowTransOP,0.7972241419974926,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,7,permuted_both,Permuted both,-0.00227314349206863,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,7,permuted_human,Permuted human,-4.2384425928e-4,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,7,permuted_mouse,Permuted mouse,0.8010914447386291,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,8,FlowTransOP,FlowTransOP,0.7968276289779038,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,8,permuted_both,Permuted both,-0.00246875145171554,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,8,permuted_human,Permuted human,-0.00121612551676454,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,8,permuted_mouse,Permuted mouse,0.8033262018786342,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,9,FlowTransOP,FlowTransOP,0.8026426533469576,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,9,permuted_both,Permuted both,-0.00264046287114982,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,9,permuted_human,Permuted human,-0.00205584587856072,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Human,9,permuted_mouse,Permuted mouse,0.809319702722251,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,0,FlowTransOP,FlowTransOP,0.7413523004897972,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,0,permuted_both,Permuted both,-0.0065534613627946,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,0,permuted_human,Permuted human,0.7498745942847933,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,0,permuted_mouse,Permuted mouse,-0.00169137543519831,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,1,FlowTransOP,FlowTransOP,0.743691813154897,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,1,permuted_both,Permuted both,-0.0066567995985447196,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,1,permuted_human,Permuted human,0.7682296978887007,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,1,permuted_mouse,Permuted mouse,-0.00210015244084904,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,2,FlowTransOP,FlowTransOP,0.7310493766287032,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,2,permuted_both,Permuted both,-0.00680126882021185,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,2,permuted_human,Permuted human,0.7627233220989729,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,2,permuted_mouse,Permuted mouse,-0.00173873416655379,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,3,FlowTransOP,FlowTransOP,0.7575534162540775,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,3,permuted_both,Permuted both,-0.00630889056144374,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,3,permuted_human,Permuted human,0.763295771461528,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,3,permuted_mouse,Permuted mouse,-0.00183823086543174,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,4,FlowTransOP,FlowTransOP,0.740950637270794,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,4,permuted_both,Permuted both,-0.00239033014535008,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,4,permuted_human,Permuted human,0.7605853100223996,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,4,permuted_mouse,Permuted mouse,-4.4870217696996e-4,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,5,FlowTransOP,FlowTransOP,0.7285859392507754,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,5,permuted_both,Permuted both,-0.00698732073963632,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,5,permuted_human,Permuted human,0.7553359657903407,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,5,permuted_mouse,Permuted mouse,-0.00184044318372474,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,6,FlowTransOP,FlowTransOP,0.7229428986228794,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,6,permuted_both,Permuted both,0.00177679033361282,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,6,permuted_human,Permuted human,0.7525934244551468,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,6,permuted_mouse,Permuted mouse,0.00233416268007081,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,7,FlowTransOP,FlowTransOP,0.7278897262243489,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,7,permuted_both,Permuted both,0.00370385233585556,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,7,permuted_human,Permuted human,0.7555697921296951,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,7,permuted_mouse,Permuted mouse,0.00145122263612319,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,FlowTransOP,FlowTransOP,0.7095756461009858,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,permuted_both,Permuted both,0.0046506156162887,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,permuted_human,Permuted human,0.7602382619943739,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,permuted_mouse,Permuted mouse,6.9248487073769e-4,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,FlowTransOP,FlowTransOP,0.7261981013939834,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,permuted_both,Permuted both,0.00437134850303503,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,permuted_human,Permuted human,0.7591603520055884,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,permuted_mouse,Permuted mouse,0.00149067485871209,Mean per-sample Pearson r
Cycle consistency,Gene-marginal mean,2,Human,0,FlowTransOP,FlowTransOP,0.9716315819648034,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,0,FlowTransOP,FlowTransOP,0.6437835820923218,Gene-marginal variance prediction Pearson r
