family,metric,species,model_label,n_folds,mean,sd,median,q25,q75
Cycle consistency,Per-sample,Human,FlowTransOP,10,0.8000709376076918,0.004088105160549168,0.7994822587198832,0.7973201474482955,0.8031605302341958
Cycle consistency,Per-sample,Human,Permuted mouse,10,0.8044246881062161,0.004490720082662683,0.8058445879996409,0.8016501340236304,0.8079122691270625
Cycle consistency,Per-sample,Human,Permuted human,10,8.832529559261049e-4,0.0015792217588153036,0.001468155594298575,-1.0585549214354751e-4,0.00206638084668285
Cycle consistency,Per-sample,Human,Permuted both,10,-8.620980785160896e-5,0.0020258577429224517,0.0011484432693276599,-0.0022959476032570047,0.0015321614544325849
Cycle consistency,Per-sample,Mouse,FlowTransOP,10,0.7329789855391242,0.013315277311470478,0.7298176579397393,0.7266210076015748,0.7412518846850464
Cycle consistency,Per-sample,Mouse,Permuted mouse,10,-3.689093223083801e-4,0.0017048073731744146,-0.001070038806084135,-0.0018133566907122527,0.0012615381947768149
Cycle consistency,Per-sample,Mouse,Permuted human,10,0.7587606492131539,0.00548241776377547,0.7596993069999811,0.7553944223751793,0.7621888190798296
Cycle consistency,Per-sample,Mouse,Permuted both,10,-0.0021195464439189198,0.0051698288367734825,-0.00434961035339691,-0.00663096503960719,0.0032220868352948752
Cycle consistency,Gene-marginal mean,Human,FlowTransOP,10,0.9799464056751743,0.005092526214250727,0.9792111608164191,0.9765760323792564,0.9833008020885263
Cycle consistency,Gene-marginal mean,Human,Permuted mouse,10,0.9857951718542837,0.005975051141228312,0.9880204101147227,0.9820883666245206,0.9905789557432848
Cycle consistency,Gene-marginal mean,Human,Permuted human,10,0.001081679400877019,0.0019358026900970326,0.00179842985008157,-1.3163125450321505e-4,0.0025317772265437324
Cycle consistency,Gene-marginal mean,Human,Permuted both,10,-1.0607225713039603e-4,0.0024839351043464057,0.0014071762680405,-0.0028165701063292475,0.0018773573490692775
Cycle consistency,Gene-marginal mean,Mouse,FlowTransOP,10,0.9371560023015666,0.01666522472658741,0.9333140479967283,0.9287656339232402,0.9479269975686382
Cycle consistency,Gene-marginal mean,Mouse,Permuted mouse,10,-4.70340877581139e-4,0.0021814228735252635,-0.001365924794370875,-0.002321190518268035,0.0016188094838486024
Cycle consistency,Gene-marginal mean,Mouse,Permuted human,10,0.9706174093896531,0.006696384602016955,0.9716245028536776,0.9662206922986143,0.9750898886603968
Cycle consistency,Gene-marginal mean,Mouse,Permuted both,10,-0.002709909989584818,0.006613961753939142,-0.0055650890480600955,-0.00847377986013301,0.004125585602157312
Cycle consistency,Gene-marginal variance,Human,FlowTransOP,10,0.7157918110641052,0.029724103794853372,0.7161389802452621,0.7096065390993416,0.7365717987615902
Cycle consistency,Gene-marginal variance,Human,Permuted mouse,10,0.7479812881106315,0.03181335051165659,0.7587061808371024,0.730310135134262,0.7698551354158611
Cycle consistency,Gene-marginal variance,Human,Permuted human,10,-0.00342494878890058,0.002205898585273015,-0.00397981446045478,-0.00493930295176831,-0.0026872785701542623
Cycle consistency,Gene-marginal variance,Human,Permuted both,10,-0.004396197532759816,0.003825656747070428,-0.00313039151094405,-0.00721098554757636,-0.0015520635061895024
Cycle consistency,Gene-marginal variance,Mouse,FlowTransOP,10,0.5736164606847832,0.04681330551838748,0.5526120129558459,0.5423176296768306,0.5986287008932549
Cycle consistency,Gene-marginal variance,Mouse,Permuted mouse,10,-0.003891614340040657,0.0031173056970326186,-0.00394249376218454,-0.006170950361488922,-0.001506667865684565
Cycle consistency,Gene-marginal variance,Mouse,Permuted human,10,0.6734150727298523,0.02901641394169536,0.6840849052986346,0.6533548749565941,0.6979923260372594
Cycle consistency,Gene-marginal variance,Mouse,Permuted both,10,-0.0016239321271902,0.002343755640975327,-0.001830100331846005,-0.003326996547797455,5.63100554668765e-4
Orthologue-mediated,"Orthologue
Human to mouse",Mouse,FlowTransOP,10,0.557485219923339,0.020473168199996405,0.5559285673023271,0.5516919812101523,0.5676695590928587
Orthologue-mediated,"Orthologue
Human to mouse",Mouse,Permuted mouse,10,-0.0027541325661372094,0.005194134931618739,-0.005747378811207012,-0.006920250257954173,0.0031291906020212115
Orthologue-mediated,"Orthologue
Human to mouse",Mouse,Permuted human,10,0.6535585000085473,0.011095544148852329,0.6538910451479024,0.6480450177721919,0.6614725189232055
Orthologue-mediated,"Orthologue
Human to mouse",Mouse,Permuted both,10,-0.0027767966939694208,0.005035602691894663,-0.00567567688083685,-0.006872376096516139,0.002915681214619203
Orthologue-mediated,"Orthologue
Mouse to human",Human,FlowTransOP,10,0.6239537208322254,0.007264350178215347,0.6240124776501266,0.6225234858985199,0.6288459924472031
Orthologue-mediated,"Orthologue
Mouse to human",Human,Permuted mouse,10,0.6274735027874028,0.008508662713842482,0.6285861419507517,0.6239243789527309,0.6330582890990151
Orthologue-mediated,"Orthologue
Mouse to human",Human,Permuted human,10,-0.0017815615442729295,0.003038638371059584,-0.003335825314773464,-0.004053671136905398,0.0013059489124666462
Orthologue-mediated,"Orthologue
Mouse to human",Human,Permuted both,10,-0.0016854672161476993,0.0029328295378672022,-0.0033309940032966376,-0.004059719955837981,0.0014308025080907883
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal mean",Mouse,FlowTransOP,10,0.7537698328495026,0.029414145140248354,0.7547504305839539,0.7448601573705673,0.7674033045768738
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal mean",Mouse,Permuted mouse,10,-0.0035520362202078096,0.0069737672596586284,-0.007544275838881729,-0.009167902171611777,0.00432148168329149
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal mean",Mouse,Permuted human,10,0.872081583738327,0.014848785252227215,0.8725652694702148,0.864659994840622,0.8828161060810089
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal mean",Mouse,Permuted both,10,-0.003611379791982471,0.006793841176837815,-0.007484389469027515,-0.009153509046882391,0.00406352471327409
Orthologue-mediated,"Orthologue
Mouse to human
gene-marginal mean",Human,FlowTransOP,10,0.8707290053367615,0.009937217539610443,0.8714421093463898,0.869822308421135,0.8776382058858871
Orthologue-mediated,"Orthologue
Mouse to human
gene-marginal mean",Human,Permuted mouse,10,0.8774891197681427,0.011885340004331486,0.8791287243366241,0.8730852454900742,0.8840074241161346
Orthologue-mediated,"Orthologue
Mouse to human
gene-marginal mean",Human,Permuted human,10,-0.002405608911067246,0.004181142154981071,-0.0045817720238119294,-0.0054447761503979555,0.0017775715095922325
Orthologue-mediated,"Orthologue
Mouse to human
gene-marginal mean",Human,Permuted both,10,-0.0023110525682568553,0.004046591502202011,-0.004565430572256441,-0.005601808428764338,0.0019731856882572126
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal variance",Mouse,FlowTransOP,10,0.23751191943883895,0.012592695406080271,0.23652441799640656,0.2314634099602699,0.24549442529678342
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal variance",Mouse,Permuted mouse,10,0.0070211541838943944,0.011722532611659377,0.006528274156153195,-0.002136681461706755,0.016696966951712966
Orthologue-mediated,"Orthologue
Human to mouse
gene-marginal variance",Mouse,Permuted human,10,0.3280260719358921,0.11695892734100725,0.32332943379879,0.2731206864118576,0.4231448397040367
