fold,species,model_type,model_label,metric,value,lower_better
0,Human,FlowTransOP,FlowTransOP,Per-sample,0.7981076071790253,FALSE
0,Human,permuted_both,Permuted both,Per-sample,0.00240732296176071,FALSE
1,Human,FlowTransOP,FlowTransOP,Per-sample,0.8050892911396964,FALSE
1,Human,permuted_both,Permuted both,Per-sample,0.00190512083282237,FALSE
2,Human,FlowTransOP,FlowTransOP,Per-sample,0.8006061869402971,FALSE
2,Human,permuted_both,Permuted both,Per-sample,0.00236794623651844,FALSE
3,Human,FlowTransOP,FlowTransOP,Per-sample,0.7964166745575358,FALSE
3,Human,permuted_both,Permuted both,Per-sample,0.00170950861973113,FALSE
4,Human,FlowTransOP,FlowTransOP,Per-sample,0.80440014684882,FALSE
4,Human,permuted_both,Permuted both,Per-sample,0.00196643894787739,FALSE
5,Human,FlowTransOP,FlowTransOP,Per-sample,0.799000727102907,FALSE
5,Human,permuted_both,Permuted both,Per-sample,0.00266753597549798,FALSE
6,Human,FlowTransOP,FlowTransOP,Per-sample,0.8067819139636827,FALSE
6,Human,permuted_both,Permuted both,Per-sample,-0.00150200368285462,FALSE
7,Human,FlowTransOP,FlowTransOP,Per-sample,0.7990503178519641,FALSE
7,Human,permuted_both,Permuted both,Per-sample,-0.0016255944640619,FALSE
8,Human,FlowTransOP,FlowTransOP,Per-sample,0.7976148239895746,FALSE
8,Human,permuted_both,Permuted both,Per-sample,-0.00163206520359409,FALSE
9,Human,FlowTransOP,FlowTransOP,Per-sample,0.8023813667642088,FALSE
9,Human,permuted_both,Permuted both,Per-sample,-0.00189458134087973,FALSE
0,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7450764848687375,FALSE
0,Mouse,permuted_both,Permuted both,Per-sample,-0.00302603205856958,FALSE
1,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7470712524093883,FALSE
1,Mouse,permuted_both,Permuted both,Per-sample,-0.00252354565731904,FALSE
2,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7330495700300838,FALSE
2,Mouse,permuted_both,Permuted both,Per-sample,-0.00305540063302191,FALSE
3,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7730719427511584,FALSE
3,Mouse,permuted_both,Permuted both,Per-sample,-0.00223992578702375,FALSE
4,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7349894206558019,FALSE
4,Mouse,permuted_both,Permuted both,Per-sample,0.00213352652469082,FALSE
5,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7135716263012009,FALSE
5,Mouse,permuted_both,Permuted both,Per-sample,-0.00334233790721366,FALSE
6,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7214165293478679,FALSE
6,Mouse,permuted_both,Permuted both,Per-sample,0.00272052379881443,FALSE
7,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7227730052366618,FALSE
7,Mouse,permuted_both,Permuted both,Per-sample,0.005323685561165,FALSE
8,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.6931138331902063,FALSE
8,Mouse,permuted_both,Permuted both,Per-sample,0.00612535176193569,FALSE
9,Mouse,FlowTransOP,FlowTransOP,Per-sample,0.7282356210915565,FALSE
9,Mouse,permuted_both,Permuted both,Per-sample,0.00607363673033005,FALSE
