fold,direction,feature_set,model_type,model_label,value,lower_better
0,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.2091282606124878,TRUE
0,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.2091282606124878,TRUE
0,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.2091282606124878,TRUE
0,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.2091282606124878,TRUE
0,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5559982657432556,TRUE
0,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6451432108879089,TRUE
0,Human to mouse,All target genes,permuted_both,Permuted both,1.517184853553772,TRUE
0,Human to mouse,Orthologues,permuted_both,Permuted both,1.488218903541565,TRUE
0,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.3073234558105469,TRUE
0,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.345464825630188,TRUE
0,Mouse to human,All target genes,permuted_both,Permuted both,1.259531021118164,TRUE
0,Mouse to human,Orthologues,permuted_both,Permuted both,1.238210916519165,TRUE
1,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.20785772800445557,TRUE
1,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.20785772800445557,TRUE
1,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.20785772800445557,TRUE
1,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.20785772800445557,TRUE
1,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5316399931907654,TRUE
1,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6106489300727844,TRUE
1,Human to mouse,All target genes,permuted_both,Permuted both,1.385923981666565,TRUE
1,Human to mouse,Orthologues,permuted_both,Permuted both,1.383768916130066,TRUE
1,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.29015862941741943,TRUE
1,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.3112001419067383,TRUE
1,Mouse to human,All target genes,permuted_both,Permuted both,1.2488782405853271,TRUE
1,Mouse to human,Orthologues,permuted_both,Permuted both,1.2301061153411863,TRUE
2,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.2076646089553833,TRUE
2,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.2076646089553833,TRUE
2,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.2076646089553833,TRUE
2,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.2076646089553833,TRUE
2,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5570003390312195,TRUE
2,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6533505916595459,TRUE
2,Human to mouse,All target genes,permuted_both,Permuted both,1.430904984474182,TRUE
2,Human to mouse,Orthologues,permuted_both,Permuted both,1.4261724948883057,TRUE
2,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.2772470712661743,TRUE
2,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.29406821727752686,TRUE
2,Mouse to human,All target genes,permuted_both,Permuted both,1.2501535415649414,TRUE
2,Mouse to human,Orthologues,permuted_both,Permuted both,1.2286171913146973,TRUE
3,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.20782113075256348,TRUE
3,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.20782113075256348,TRUE
3,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.20782113075256348,TRUE
3,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.20782113075256348,TRUE
3,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5442337989807129,TRUE
3,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6341603994369507,TRUE
3,Human to mouse,All target genes,permuted_both,Permuted both,1.4040839672088623,TRUE
3,Human to mouse,Orthologues,permuted_both,Permuted both,1.3954523801803589,TRUE
3,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.3001044988632202,TRUE
3,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.33008861541748047,TRUE
3,Mouse to human,All target genes,permuted_both,Permuted both,1.2435734272003174,TRUE
3,Mouse to human,Orthologues,permuted_both,Permuted both,1.2268028259277344,TRUE
4,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.2090921401977539,TRUE
4,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.2090921401977539,TRUE
4,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.2090921401977539,TRUE
4,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.2090921401977539,TRUE
4,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5595521330833435,TRUE
4,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6545584797859192,TRUE
4,Human to mouse,All target genes,permuted_both,Permuted both,1.3944847583770752,TRUE
4,Human to mouse,Orthologues,permuted_both,Permuted both,1.4143718481063845,TRUE
4,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.3025282621383667,TRUE
4,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.31824636459350586,TRUE
4,Mouse to human,All target genes,permuted_both,Permuted both,1.2510128021240234,TRUE
4,Mouse to human,Orthologues,permuted_both,Permuted both,1.2286970615386963,TRUE
5,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.20956814289093015,TRUE
5,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.20956814289093015,TRUE
5,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.20956814289093015,TRUE
5,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.20956814289093015,TRUE
5,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5822254419326782,TRUE
