fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat,source_file,model_label
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16444069147109985,0,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825595259666443,0,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19574952125549316,0,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830538868904114,0,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16562420129776,1,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825594663619995,1,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19698941707611084,1,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830457806587219,1,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1676580309867859,2,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.582561194896698,2,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19962608814239505,2,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830547213554382,2,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16706115007400513,3,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825598239898682,3,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19884228706359863,3,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830552577972412,3,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16977614164352417,4,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825601816177368,4,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.20188331604003903,4,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830659866333008,4,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1677202582359314,5,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825598835945129,5,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1996517777442932,5,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.583052933216095,5,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1660938262939453,6,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825603008270264,6,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19731074571609497,6,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830510854721069,6,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1647821068763733,7,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825598835945129,7,liver_expression_mmd_fold0.csv,FlowTransOP
