fold,direction,feature_set,comparison,model_type,model_label,random_repeat,background_n,metric,value,lower_better
0,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,3.302328109741211,TRUE
0,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,4.160467624664307,TRUE
0,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,2.5281336307525635,TRUE
0,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,6.127716064453125,TRUE
0,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,3.4063832759857178,TRUE
0,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,4.211463928222656,TRUE
0,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,2.8886704444885254,TRUE
0,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,5.562497615814209,TRUE
0,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,3.417222261428833,TRUE
0,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,4.177913665771484,TRUE
0,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,3.0238349437713623,TRUE
0,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,5.507343292236328,TRUE
0,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,3.343733549118042,TRUE
0,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,4.316897869110107,TRUE
