fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,nearest_k,mean_top1_cosine,mean_topk_cosine
1,h2m,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,128.91799926757812,0.9723984003067017,0.8566479086875916,0.8521893956682656,10,0.9332161038279534,0.9309301138818264
1,m2h,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,128.91799926757812,0.9723984003067017,0.8566479086875916,0.8521893956682655,10,0.9446329363107682,0.9423848672747612
1,h2m,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,187.4387969970703,0.9468957781791687,0.852225124835968,0.8627014341744059,10,0.98360465939641,0.9828011171758175
1,h2m,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,165.53964233398438,0.9523527026176453,0.753744900226593,0.7521536809323046,10,0.9881788879454136,0.9873848513305187
1,h2m,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,491.29461669921875,0.6337482929229736,-0.0026251880917698145,-0.004569235382598233,10,0.6080106498003006,0.6072520992577076
1,h2m,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,377.31182861328125,0.7040975093841553,-0.0025854124687612057,-0.007740393766299884,10,0.7119643276870251,0.7069908903896809
1,h2m,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,127.18138885498047,0.9749669432640076,0.9285026788711548,0.9274513676767003,10,0.9640334855556488,0.9633715857148171
1,h2m,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,105.56680297851562,0.9797241687774658,0.8976299166679382,0.8927666032808549,10,0.9771967718839646,0.9756077482998371
1,h2m,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,477.0466613769531,0.6464009881019592,0.002493752632290125,-0.002466687576869822,10,0.6193960073411464,0.6186789651155472
1,h2m,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,368.04620361328125,0.7181678414344788,0.004937337711453438,-0.002619670873612083,10,0.7243454958677292,0.7216643191039562
1,m2h,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,104.15939331054688,0.987146258354187,0.9664130806922913,0.9628518865940043,10,0.9784621102571487,0.977401681548357
1,m2h,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,84.56070709228516,0.9893292784690857,0.9385581612586975,0.9368108697935781,10,0.9857750389456749,0.9851889040529728
1,m2h,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,547.0639038085938,0.6331122517585754,0.002445048652589321,0.0020216937755926415,10,0.594759410327673,0.5938138167619705
1,m2h,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,385.08612060546875,0.7167134881019592,-0.004210885148495436,-0.0024726206733088458,10,0.7254882879495621,0.7225509068369865
1,m2h,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,102.99481201171875,0.9870559573173523,0.9655903577804565,0.9616360726625259,10,0.9757330278754235,0.9747075670957566
1,m2h,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,84.79180145263672,0.9887924790382385,0.9376509189605713,0.9359783561193271,10,0.9841744158267974,0.9835107167720795
1,m2h,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,531.0162963867188,0.6437344551086426,0.0031672113109380007,0.0017683946817600767,10,0.6046974204838276,0.6037866488099098
1,m2h,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,377.2359313964844,0.7291314601898193,-0.0028809336945414543,-0.001816486498675347,10,0.7379766006946564,0.7349025923669338
