fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,random_repeat,background_n,latent_space
5,h2m,FlowTransOP,latent,latent,translated_source_vs_real_target,10000,10000,512,5.767649173736572,-0.24541404843330383,-0.24450036883354187,-0.24773021666609446,,,
5,h2m,permuted_both,latent,latent,translated_source_vs_real_target,10000,10000,512,53.47211837768555,-0.7490593791007996,-0.7492719292640686,-0.7343343196747576,,,
5,m2h,FlowTransOP,latent,latent,translated_source_vs_real_target,10000,10000,512,2.3162217140197754,-0.036928512156009674,-0.03263962268829346,-0.05166213550428583,,,
5,m2h,permuted_both,latent,latent,translated_source_vs_real_target,10000,10000,512,21.205224990844727,-0.8355733156204224,-0.8355879783630371,-0.8392723031894805,,,
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.326215982437134,0.22711533308029175,0.22429360449314117,0.21138122847072016,0.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.274408340454102,-0.3841564953327179,-0.3835722804069519,-0.3580211051315503,0.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.8820728659629822,0.9997755289077759,0.9997756481170654,0.9996230587885239,0.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.06805419921875,-0.751844584941864,-0.7520914673805237,-0.7372917346162209,0.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.5307698249816895,0.5400409698486328,0.540758490562439,0.5406027196987903,0.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.7503966093063354,0.1823849231004715,0.18317890167236328,0.13907816416040097,0.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.11999586224555969,0.9999821782112122,0.9999822378158569,0.9999576209359015,0.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.168642044067383,-0.8361831307411194,-0.8361976146697998,-0.8401256065391789,0.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.4917080402374268,0.06050184369087219,0.05783781036734581,0.05298241322484292,1.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.410874366760254,-0.4589792788028717,-0.45853400230407715,-0.440751475578215,1.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9546803832054138,0.9997568726539612,0.9997569918632507,0.9995901568990971,1.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,52.98691940307617,-0.7520401477813721,-0.7522879838943481,-0.737515968145249,1.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.5376121997833252,0.5078719854354858,0.5081076622009277,0.5131997373570913,1.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.7109054327011108,0.09756378829479218,0.09871931374073029,0.07511009615934813,1.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.12818953394889832,0.999980628490448,0.9999806880950928,0.9999540446435724,1.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.158933639526367,-0.8362369537353516,-0.836251437664032,-0.8402020497877113,1.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.404900550842285,0.12728333473205566,0.12349742650985718,0.12487438273194403,2.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.089890003204346,-0.16870398819446564,-0.1675928831100464,-0.17220518118927455,2.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9967314600944519,0.9997358918190002,0.9997358322143555,0.9995477778349984,2.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,52.96514129638672,-0.7522907853126526,-0.7525397539138794,-0.7378974691294445,2.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.5230730772018433,0.5124402642250061,0.5129519701004028,0.5147459473455328,2.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.6272159814834595,0.13191361725330353,0.13278086483478546,0.09602282318238518,2.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.10881614685058594,0.9999868869781494,0.9999868869781494,0.9999682604055802,2.0,1000.0,permuted_target_space
