figure_category,figure_label,figure_description,cohort,endpoint,panel,score_type,mouse_treatment,n_samples,mean,median,sd,q25,q75,value_scale,raw_mean,raw_median,dataset_label,description
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Raw mouse orthologues
scored with raw human PLSR",delta_from_healthy,Lanifibranor,10,3.1245781689948378,3.103686897771895,0.20369890666305543,3.019596441710266,3.195282775166869,original_score_delta_from_healthy,3.1245781689948378,3.103686897771895,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: delta_from_healthy; value scale: original_score_delta_from_healthy; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference and delta baseline."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Raw mouse orthologues
scored with raw human PLSR",delta_from_healthy,disease control,10,3.842987146690624,3.8241438727909802,0.09753858292616391,3.7597730638054863,3.8938747943537177,original_score_delta_from_healthy,3.842987146690624,3.8241438727909802,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: delta_from_healthy; value scale: original_score_delta_from_healthy; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference and delta baseline."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Raw mouse orthologues
scored with raw human PLSR",delta_from_healthy,healthy control,8,1.6653345369377348e-16,0.02733417404030436,0.13612804408378565,-0.10026743196247645,0.09270387551243142,original_score_delta_from_healthy,1.6653345369377348e-16,0.02733417404030436,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: delta_from_healthy; value scale: original_score_delta_from_healthy; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference and delta baseline."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Raw mouse orthologues
scored with raw human PLSR",score,Lanifibranor,10,0.7902529734792945,0.785275231503386,0.04853513160222879,0.7652390839447067,0.8070996881802218,min_max_normalized_within_panel,5.181100034680556,5.160208763457614,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: score; value scale: min_max_normalized_within_panel; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Raw mouse orthologues
scored with raw human PLSR",score,disease control,10,0.9614275509372088,0.9569377832034583,0.02324041908799738,0.941600215925197,0.9735524990614594,min_max_normalized_within_panel,5.899509012376343,5.880665738476699,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: score; value scale: min_max_normalized_within_panel; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Raw mouse orthologues
scored with raw human PLSR",score,healthy control,8,0.04576290665499178,0.052275792541408794,0.03243509080433784,0.02187228747868889,0.06785136491792726,min_max_normalized_within_panel,2.0565218656857187,2.0838560397260233,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: score; value scale: min_max_normalized_within_panel; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Translated all genes
scored with reconstructed human PLSR",delta_from_healthy,Lanifibranor,10,10.170620628308697,9.703565602230745,2.119452713317165,9.25316591343691,9.960741251833245,original_score_delta_from_healthy,10.170620628308697,9.703565602230745,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: delta_from_healthy; value scale: original_score_delta_from_healthy; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference and delta baseline."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Translated all genes
scored with reconstructed human PLSR",delta_from_healthy,disease control,10,12.206057742407184,12.043377624065009,0.4795528098172674,11.880939614608671,12.4616607831149,original_score_delta_from_healthy,12.206057742407184,12.043377624065009,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: delta_from_healthy; value scale: original_score_delta_from_healthy; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference and delta baseline."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Translated all genes
scored with reconstructed human PLSR",delta_from_healthy,healthy control,8,4.440892098500626e-16,0.13841134880078076,0.8853778988337219,-0.6233545597374031,0.4078701949522139,original_score_delta_from_healthy,4.440892098500626e-16,0.13841134880078076,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: delta_from_healthy; value scale: original_score_delta_from_healthy; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference and delta baseline."
hybrid,Reconstructed translated PLSR with raw orthologue reference,Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.,mouse_cdaa_lanifibranor,NAS/MAS score,"Translated all genes
scored with reconstructed human PLSR",score,Lanifibranor,10,0.6626757405601542,0.6359842596468175,0.12112348328477844,0.6102446058039597,0.6506814549652861,min_max_normalized_within_panel,-2.047233468860255,-2.514288494938208,GSE269493 CDAA-HFD,"Group-level summary for plotted boxplot values. Score type: score; value scale: min_max_normalized_within_panel; figure category: Hybrid figure: translated expression is scored with PLSR trained on ensemble-mean reconstructed human expression; raw mouse orthologues are scored with the observed human orthologue PLSR.; statistical comparisons are drug versus disease control, with healthy control as visual reference."
