sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM8316634,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.227478201703139,2.2854663573191454,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 1"
GSM8316635,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.21689665065213,2.284779628109242,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 2"
GSM8316636,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.217506099501237,2.2659501918894884,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 3"
GSM8316637,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.211325273592164,2.274879395556726,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 4"
GSM8316638,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.221497590937303,2.2912675704110743,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 5"
GSM8316640,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.215590291192456,2.274867507928164,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 6"
GSM8316641,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.23086422174695,2.308671824587754,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 7"
GSM8316642,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.216332503182693,2.2827073719276108,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 8"
GSM8316681,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.296577265350299,2.4351527655945935,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 1"
GSM8316682,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.313223237337105,2.4327664268062477,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 2"
GSM8316683,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.299810860154537,2.42210086149763,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 3"
GSM8316684,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.293235211224562,2.424157564603995,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 4"
GSM8316685,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.288359110462506,2.431035040959627,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 5"
GSM8316686,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.284978970368287,2.4267627665247837,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 6"
GSM8316687,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.307428500466138,2.4256841183841766,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 7"
GSM8316688,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.297475132966257,2.4251710314246804,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 8"
GSM8316689,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.2879735357323,2.425010283150394,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 9"
GSM8316690,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.29117207158002,2.4377027211581113,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 10"
GSM8316709,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.251974093363451,2.3879608543328654,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 1"
GSM8316710,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.26631065317284,2.394351252402269,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 2"
GSM8316711,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.269230851844531,2.395294004673646,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 3"
GSM8316712,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.271588960969346,2.3838383335509414,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 4"
GSM8316713,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.253638818554563,2.391432183960161,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 5"
GSM8316714,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.270418669027734,2.3986056809306406,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 6"
