sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182972,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.2288136358258726,2.308593116295337,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,1_L5.D701: WT+con liver 1
GSM4182973,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.203313032460905,2.3070612425489987,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,2_L5.D702: WT+con liver 2
GSM4182974,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.218071728681716,2.313369067638734,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,3_L5.D703: WT+con liver 3
GSM4182975,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.221196294040924,2.3144002646500907,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,4_L6.D704: WT+con liver 4
GSM4182976,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.2077376039272245,2.3019943575747983,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,5_L5.D705: WT+con liver 5
GSM4182977,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.202962186930748,2.299655664014126,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,6_L6.D706: WT+con liver 6
GSM4182978,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.208770104631559,2.2972397183613342,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,7_L6.D707: WT+con liver 7
GSM4182979,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.194268875228639,2.292361046728356,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,8_L6.D708: WT+con liver 8
GSM4182986,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.285599348185356,2.4051556825296805,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: F",Liver,15_L7.D703: Nlrp3+con liver 1
GSM4182987,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.286649333070264,2.4109062419953364,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,16_L7.D704: Nlrp3+con liver 2
