iteration,correlation,cell
5,0.625255024336305,PC3
0,0.630457817791028,PC3
1,0.6262611721598519,PC3
2,0.6217181450714353,PC3
3,0.6169766811739338,PC3
4,0.6308674671128396,PC3
8,0.13889942191774227,PC3
6,0.3879571256688119,PC3
7,0.20987998707489108,PC3
5,0.6155514646295974,HT29
0,0.6199623547226831,HT29
1,0.613962073993347,HT29
2,0.6139381203734122,HT29
3,0.6102681244034699,HT29
4,0.6133867197937783,HT29
8,0.12910799843961385,HT29
6,0.3736102028184327,HT29
7,0.1895768068502423,HT29
5,0.5976158740535433,MCF7
0,0.6023141553805977,MCF7
1,0.5926564978049922,MCF7
2,0.5951408601100522,MCF7
3,0.5893844439845973,MCF7
4,0.6009904141464983,MCF7
8,0.11193338036709219,MCF7
6,0.3458672339616403,MCF7
7,0.16587533299464108,MCF7
5,0.5812803098602252,A549
0,0.5849827489929099,A549
1,0.5779848193866768,A549
2,0.5752037237052333,A549
3,0.5664089149263909,A549
4,0.5870486924983378,A549
8,0.12407529434453922,A549
6,0.32920658076284465,A549
7,0.14942940955353712,A549
5,0.5901889506737164,NPC
0,0.5870541409181715,NPC
1,0.5884064235704662,NPC
2,0.5862232431161497,NPC
3,0.5855073164617971,NPC
4,0.6057463471688833,NPC
8,0.1413147738119526,NPC
6,0.3262606413532603,NPC
7,0.14490310637469525,NPC
5,0.5949353314136676,HEPG2
0,0.5949087932852207,HEPG2
1,0.5912674284782221,HEPG2
2,0.5869113523865274,HEPG2
3,0.5889045687815082,HEPG2
4,0.5998954656902805,HEPG2
8,0.12302477951008946,HEPG2
6,0.3462429027107644,HEPG2
7,0.15533589039488307,HEPG2
5,0.5673436409396071,A375
0,0.5704885258140965,A375
1,0.5682263835277142,A375
2,0.564778839026343,A375
3,0.5587578045563683,A375
4,0.5685114811972104,A375
8,0.11447808215397756,A375
6,0.32891013517184964,A375
7,0.1661367255044907,A375
5,0.5755889025477382,YAPC
0,0.5816269320176504,YAPC
1,0.5766271222577141,YAPC
2,0.5774423496978273,YAPC
3,0.5661539361433773,YAPC
4,0.5804869130149098,YAPC
8,0.0949872878199775,YAPC
6,0.3337764557122251,YAPC
7,0.1873712058428055,YAPC
5,0.6269765204898089,U2OS
0,0.6202665621065048,U2OS
1,0.638237716399959,U2OS
2,0.6227765065843385,U2OS
3,0.6303205508099274,U2OS
4,0.6438977801602654,U2OS
8,0.0546337786832409,U2OS
6,0.4107680107111853,U2OS
7,0.28212733519747873,U2OS
5,0.6679521738621826,MCF10A
0,0.6756952299582253,MCF10A
1,0.6655815330150361,MCF10A
2,0.6579894122962316,MCF10A
3,0.6557581795923064,MCF10A
4,0.672790342285209,MCF10A
8,0.13589947041637165,MCF10A
6,0.4272124106837403,MCF10A
7,0.22102701159093516,MCF10A
5,0.6067031617058729,HA1E
0,0.6073279396029452,HA1E
1,0.6031363100394019,HA1E
2,0.606261800121554,HA1E
3,0.5965810573386015,HA1E
4,0.6179092497916437,HA1E
8,0.121987467729744,HA1E
6,0.3599027490476776,HA1E
7,0.19154644489805314,HA1E
5,0.6393798362462012,HCC515
0,0.6390993311282792,HCC515
1,0.6371685280649498,HCC515
2,0.6343071599801006,HCC515
3,0.6284330256708203,HCC515
4,0.636694012897844,HCC515
8,0.13463688577180516,HCC515
6,0.39234886575788636,HCC515
7,0.21261749460055984,HCC515
5,0.6371725955702223,ASC
0,0.6373299018124162,ASC
1,0.6326929793561616,ASC
2,0.6371508609345379,ASC
3,0.6313263897888507,ASC
4,0.6443936685277166,ASC
8,0.13504065335990142,ASC
6,0.38036084076212595,ASC
7,0.1733887182790758,ASC
5,0.7231077821386215,VCAP
0,0.7308313962461076,VCAP
1,0.7169890583041761,VCAP
2,0.7196950124599556,VCAP
3,0.7155275076877812,VCAP
4,0.7319871871592539,VCAP
8,0.1756828739874407,VCAP
6,0.46426010294239206,VCAP
7,0.24138349161221423,VCAP
5,0.5666040560389489,HUVEC
0,0.5644668845763676,HUVEC
1,0.5641908927417058,HUVEC
2,0.5717862030322881,HUVEC
3,0.5589416408162088,HUVEC
4,0.5708422828672022,HUVEC
8,0.09533008095187395,HUVEC
6,0.3216259306137061,HUVEC
7,0.15875049910311514,HUVEC
5,0.5501389810898292,HELA
0,0.560241514463812,HELA
1,0.5464660165142392,HELA
2,0.5456089749555024,HELA
3,0.5379150104089037,HELA
4,0.5532491289675877,HELA
8,0.16905951159889693,HELA
6,0.30112917807638495,HELA
7,0.14007275408625083,HELA
