train,test,fold,cell,iteration
0.892704691,0.820331047,0,PC3,0
0.892950512,0.818281302,1,PC3,0
0.891844481,0.819936637,2,PC3,0
0.894102178,0.810367522,3,PC3,0
0.893538324,0.823757719,4,PC3,0
0.892283434,0.819582504,0,PC3,1
0.892685858,0.818363974,1,PC3,1
0.8922308,0.820755059,2,PC3,1
0.894894826,0.811718986,3,PC3,1
0.893141398,0.823121501,4,PC3,1
0.892161235,0.819729206,0,PC3,2
0.892472765,0.817454387,1,PC3,2
0.892229797,0.820534759,2,PC3,2
0.894638475,0.810812657,3,PC3,2
0.892653907,0.822511412,4,PC3,2
0.892213928,0.819221453,0,PC3,3
0.892546626,0.817569563,1,PC3,3
0.892403658,0.820801999,2,PC3,3
0.895183001,0.811374661,3,PC3,3
0.893196116,0.8238719,4,PC3,3
0.892009061,0.819017884,0,PC3,4
0.892449904,0.817825121,1,PC3,4
0.892400073,0.821050543,2,PC3,4
0.894698502,0.810755552,3,PC3,4
0.892758074,0.822574108,4,PC3,4
