train,test,shuffled X,fold,cell,iteration
0.299347199,0.306044784,0.274633353,0,PC3,0
0.310219189,0.283081438,0.279479541,1,PC3,0
0.303606659,0.316275763,0.250667432,2,PC3,0
0.304385545,0.333884497,0.292021116,3,PC3,0
0.295559501,0.296373164,0.250006918,4,PC3,0
0.332358519,0.340522567,0.300357386,0,PC3,1
0.339456794,0.322277972,0.209387753,1,PC3,1
0.33438066,0.352137387,0.272396749,2,PC3,1
0.332757746,0.356259298,0.31930538,3,PC3,1
0.336005779,0.335072473,0.272179067,4,PC3,1
0.291667094,0.312180793,0.286679294,0,PC3,2
0.301227113,0.280431308,0.268769888,1,PC3,2
0.296210804,0.311597927,0.302555289,2,PC3,2
0.29089678,0.314925103,0.323689834,3,PC3,2
0.30136231,0.295004158,0.258147879,4,PC3,2
0.301458842,0.306837895,0.239614967,0,PC3,3
0.299748543,0.270078497,0.278613956,1,PC3,3
0.288948511,0.307055044,0.263114721,2,PC3,3
0.277869884,0.300754905,0.30005945,3,PC3,3
0.292587782,0.297961357,0.256936643,4,PC3,3
0.306978867,0.31879605,0.271766016,0,PC3,4
0.317902337,0.302496189,0.235440476,1,PC3,4
0.304810205,0.321490531,0.246800492,2,PC3,4
0.30479184,0.324227092,0.284643712,3,PC3,4
0.305366946,0.299321929,0.225520854,4,PC3,4
