train,test,fold,cell,iteration
0.9317484575825428,0.9103362402766597,0,A375,0
0.942095912030033,0.8947919721567017,1,A375,0
0.933657072499551,0.9233493577329958,2,A375,0
0.9366286409073787,0.8955442256171852,3,A375,0
0.9352295344991102,0.897470613328611,4,A375,0
0.9323703109359668,0.9111555251989522,0,A375,1
0.9413104136203411,0.8940516075972802,1,A375,1
0.9310504033850542,0.9186723904422642,2,A375,1
0.9337301282258765,0.8916291289230103,3,A375,1
0.9373298670296433,0.8990554166786229,4,A375,1
0.935661292256514,0.9147790461393805,0,A375,2
0.9413497941505515,0.8943045791449068,1,A375,2
0.9319566826894702,0.9209268370889218,2,A375,2
0.9375341017980139,0.8964318621430754,3,A375,2
0.9355152467823631,0.8990068527764511,4,A375,2
0.9321623048248144,0.9094632076855687,0,A375,3
0.9400631270281574,0.8899287588983464,1,A375,3
0.9345899058198872,0.9237028818609525,2,A375,3
0.9366955200554062,0.8952752357345095,3,A375,3
0.9359755647630474,0.9000850471572087,4,A375,3
0.9338934247271029,0.9134911839655688,0,A375,4
0.9422532923176096,0.8941072544948152,1,A375,4
0.9316788082442669,0.920549591163704,2,A375,4
0.9380889269764321,0.8977341367789864,3,A375,4
0.938688886197057,0.9018667590818221,4,A375,4
0.9319810173081692,0.9095056297880164,0,A375,5
0.9398567172126902,0.8855509791595948,1,A375,5
0.9309650296721224,0.9191492198717013,2,A375,5
0.9342814479054482,0.885931388488159,3,A375,5
0.9345535770521375,0.8910513305901074,4,A375,5
0.9136447539250934,0.8580685145758754,0,A375,6
0.9216388952381669,0.8352464411755915,1,A375,6
0.9131055637439986,0.8688176872708142,2,A375,6
0.9147090580555234,0.8375879153571937,3,A375,6
0.9144788577831732,0.844026530317476,4,A375,6
0.9069314104598338,0.831544752405446,0,A375,7
0.9158484869167385,0.8141388641598715,1,A375,7
0.9085973745356589,0.8402912103433733,2,A375,7
0.908760861297533,0.8222191793384499,3,A375,7
0.9090695004234932,0.8318370684728409,4,A375,7
0.9129163206454496,0.841645010515921,0,A375,8
0.9216782314902301,0.8313824123439473,1,A375,8
0.9148348693084117,0.8471874391298364,2,A375,8
0.9150800952380409,0.834140717295601,3,A375,8
0.9139802931332697,0.8450847674135896,4,A375,8
