train,test,fold,cell,iteration
0.6122539426166308,0.6165268592202604,0,A549,0
0.5948222205042577,0.6202355272806025,1,A549,0
0.6377435555831155,0.5937609365673076,2,A549,0
0.6421418820204992,0.6260878836148127,3,A549,0
0.6012702216132422,0.6402705685199773,4,A549,0
0.6218543191998127,0.6241963499614513,0,A549,1
0.6201070826331665,0.6514658673716416,1,A549,1
0.6244051502587069,0.5886369913500745,2,A549,1
0.6259011123243066,0.6048431333117857,3,A549,1
0.6280366431819403,0.6539508332312121,4,A549,1
0.5588566220237232,0.5529658429815202,0,A549,2
0.5741544744266371,0.6035474425311759,1,A549,2
0.5398017926490918,0.5042167390093787,2,A549,2
0.596347716908288,0.5741956254534384,3,A549,2
0.5810230029600585,0.6053213663262424,4,A549,2
0.5825896440562255,0.5928260382340682,0,A549,3
0.5497761281595797,0.5802522019543183,1,A549,3
0.5259967371263476,0.4979851122568646,2,A549,3
0.6217443518209074,0.6035667790894446,3,A549,3
0.5422231047678455,0.5716976538526122,4,A549,3
0.6138731921345466,0.6145300423528295,0,A549,4
0.642696979263367,0.6658545639543425,1,A549,4
0.6133831008502705,0.5844117961621557,2,A549,4
0.6188730652717442,0.6071353918871921,3,A549,4
0.5862164588647454,0.6208695597182972,4,A549,4
0.7039775363174423,0.712686694988762,0,A549,5
0.6961213018872441,0.7235478555418082,1,A549,5
0.6998570199686283,0.6475578148672828,2,A549,5
0.691559061532171,0.684030565470819,3,A549,5
0.6793152872573369,0.7259983245692794,4,A549,5
0.49329805907681756,0.4965951501520168,0,A549,6
0.49003199732214253,0.5147957914108136,1,A549,6
0.504955267170913,0.5186721868048072,2,A549,6
0.5068306847133006,0.4886967874378774,3,A549,6
0.4786284900209833,0.5269559848056905,4,A549,6
0.3275523345508695,0.32756536515395873,0,A549,7
0.32729466693324616,0.344172945592507,1,A549,7
0.31455860424442295,0.36838703799573935,2,A549,7
0.33577261818153603,0.31785603999546097,3,A549,7
0.315311857792552,0.35988784148973424,4,A549,7
0.3632287121447089,0.3541150618684962,0,A549,8
0.3401296216213716,0.3986165498763448,1,A549,8
0.3587653813942303,0.3560333556090616,2,A549,8
0.36441184418675887,0.3637442123070731,3,A549,8
0.36589146348539603,0.35509569426000875,4,A549,8
