train,test,fold,cell,iteration
0.6768338161786589,0.7138490766422458,0,HEPG2,0
0.6927297055812676,0.6637146173548036,1,HEPG2,0
0.6947661083389234,0.6617797196634461,2,HEPG2,0
0.6760884527517154,0.6900099853200652,3,HEPG2,0
0.6766693462984658,0.6968306450192178,4,HEPG2,0
0.6630442586495828,0.7024344837342278,0,HEPG2,1
0.6537792011110704,0.6284528740393778,1,HEPG2,1
0.6537200009127362,0.6217019102336222,2,HEPG2,1
0.6356631061924997,0.6445262479118179,3,HEPG2,1
0.6957983841128343,0.7095671274491762,4,HEPG2,1
0.6412172228268965,0.6775931991737146,0,HEPG2,2
0.6818639958884438,0.6627926903605152,1,HEPG2,2
0.6935649967571338,0.6720969861204806,2,HEPG2,2
0.6447025972669282,0.6531883310072839,3,HEPG2,2
0.6722548617945203,0.683850532898091,4,HEPG2,2
0.6539701025488407,0.6978216053796842,0,HEPG2,3
0.6606201682894821,0.639210608178554,1,HEPG2,3
0.6335881603771728,0.6055278490078095,2,HEPG2,3
0.5990455151879597,0.612879201594463,3,HEPG2,3
0.6227783283360291,0.6288545753268637,4,HEPG2,3
0.6714287479076179,0.7024142099608957,0,HEPG2,4
0.6683279114160758,0.6468455769064579,1,HEPG2,4
0.7154605530227721,0.695772633688229,2,HEPG2,4
0.6751910204169993,0.6926906778842161,3,HEPG2,4
0.6356404294651582,0.6488268421174197,4,HEPG2,4
0.7159262756751256,0.7513760658841058,0,HEPG2,5
0.7368642524055495,0.7146150470497301,1,HEPG2,5
0.7354343125479219,0.7132077792842398,2,HEPG2,5
0.7186051469888719,0.732032462096436,3,HEPG2,5
0.7153148748310805,0.732830641391667,4,HEPG2,5
0.5290271346072927,0.5740088069257419,0,HEPG2,6
0.5478369149754543,0.525128343114418,1,HEPG2,6
0.5379183062755412,0.5272002942267461,2,HEPG2,6
0.5056667974125255,0.534130082225609,3,HEPG2,6
0.5316272376172797,0.5475044838370826,4,HEPG2,6
0.3374252281627393,0.37795411667863255,0,HEPG2,7
0.3588708720036217,0.35111310555201525,1,HEPG2,7
0.3537686020983941,0.3681253946208941,2,HEPG2,7
0.3484896936797598,0.35896794408487487,3,HEPG2,7
0.35550972545149206,0.3622208923181174,4,HEPG2,7
0.3518656706140172,0.41534726657960064,0,HEPG2,8
0.37295962708159525,0.35592366467419423,1,HEPG2,8
0.37163688328093325,0.35626327777649247,2,HEPG2,8
0.35808911587488496,0.38645799653201096,3,HEPG2,8
0.37144611452944043,0.35283053958531096,4,HEPG2,8
