train,test,fold,cell,iteration
0.7076631538983327,0.7392759401046602,0,NPC,0
0.7180924866211531,0.7002753224749656,1,NPC,0
0.7252807008224254,0.6873801215760791,2,NPC,0
0.6908488627368747,0.7082356912372003,3,NPC,0
0.7351343253654953,0.7317107631622237,4,NPC,0
0.7255888572856174,0.7611918907947732,0,NPC,1
0.7314120462066958,0.6984402660164003,1,NPC,1
0.7329307074679055,0.6946675442402175,2,NPC,1
0.7136037315230992,0.7225534519461522,3,NPC,1
0.7296293141915591,0.7261717366019731,4,NPC,1
0.7126780008917859,0.7433279678472638,0,NPC,2
0.7219492678409789,0.6983882653404427,1,NPC,2
0.7316508060444652,0.700157281720703,2,NPC,2
0.7141465440175718,0.7150040184651119,3,NPC,2
0.7131838305655471,0.7042738255665346,4,NPC,2
0.7131558009065673,0.7399787407704952,0,NPC,3
0.6999142664459941,0.6753676313836532,1,NPC,3
0.6632127478217056,0.6274030860454434,2,NPC,3
0.7069562205319588,0.7118176162617478,3,NPC,3
0.6947015911635732,0.7021875654303832,4,NPC,3
0.7350562346031091,0.7683813298347595,0,NPC,4
0.708620130122178,0.6922852269196307,1,NPC,4
0.6320522996904014,0.6069460674184086,2,NPC,4
0.689341397162639,0.6925609248234212,3,NPC,4
0.7296047828921663,0.7345070226284311,4,NPC,4
0.736085921285086,0.7636582315523377,0,NPC,5
0.7485567058378308,0.7259284794268175,1,NPC,5
0.7508410109037698,0.7145229683193252,2,NPC,5
0.7319556358709147,0.7491925728135203,3,NPC,5
0.7407419182527597,0.7465036215806311,4,NPC,5
0.5554456949972126,0.5801149514025727,0,NPC,6
0.5532179415267693,0.5129040613572751,1,NPC,6
0.5595045825922204,0.5148050597431896,2,NPC,6
0.5418863961140283,0.5377746117118523,3,NPC,6
0.5444489299569704,0.5753860332640017,4,NPC,6
0.3805536207783444,0.365205806017213,0,NPC,7
0.3990339680364168,0.3662712257939836,1,NPC,7
0.395712717933024,0.31485324825289757,2,NPC,7
0.36669466899300507,0.36146763316691183,3,NPC,7
0.38883485471132095,0.4105708991861043,4,NPC,7
0.4060374245353663,0.40796862183396587,0,NPC,8
0.4188786474077244,0.3637906282481418,1,NPC,8
0.4149288982881627,0.3314064911032465,2,NPC,8
0.39257899358785314,0.39970343884488657,3,NPC,8
0.41239979187910236,0.43274644368755033,4,NPC,8
