train,test,fold,cell,iteration
0.73775200000994,0.7562791652577187,0,U2OS,0
0.759937034518416,0.7489512895629094,1,U2OS,0
0.7553289368701349,0.7584592221685507,2,U2OS,0
0.7340095458623388,0.7199989704288625,3,U2OS,0
0.7518206969263516,0.7590375026339791,4,U2OS,0
0.7534549129900276,0.7698702860227802,0,U2OS,1
0.7531559864512548,0.7456680556968424,1,U2OS,1
0.7671817852705833,0.7728442680794427,2,U2OS,1
0.7515748337809753,0.7378634961600643,3,U2OS,1
0.7614527631372969,0.7720094703574033,4,U2OS,1
0.7651067525157746,0.7792635887448154,0,U2OS,2
0.7438996481373746,0.7316798588145987,1,U2OS,2
0.7617427339967828,0.7672491630371163,2,U2OS,2
0.7694186018398307,0.7530754840210284,3,U2OS,2
0.7408716052972425,0.748723722561941,4,U2OS,2
0.7601718894292692,0.7738137833600536,0,U2OS,3
0.7529363267895621,0.7409881778565595,1,U2OS,3
0.7663068302334094,0.771128800640818,2,U2OS,3
0.75838651614599,0.7430292185087458,3,U2OS,3
0.7616154813804732,0.7681859733368164,4,U2OS,3
0.7631807295958017,0.780000291132876,0,U2OS,4
0.7635694021749339,0.7555285531649141,1,U2OS,4
0.7602574818921317,0.763973876690872,2,U2OS,4
0.7675603144837344,0.7481025715274121,3,U2OS,4
0.7566603216688578,0.7671321445075386,4,U2OS,4
0.7658522390488983,0.7862532838416937,0,U2OS,5
0.7748601121516243,0.7625897945363552,1,U2OS,5
0.7708376384290292,0.775615731748324,2,U2OS,5
0.7745848174690149,0.7572409657113517,3,U2OS,5
0.768270364001359,0.7713030695803624,4,U2OS,5
0.669061777249899,0.6813150973743494,0,U2OS,6
0.6755965521569307,0.6626694756094177,1,U2OS,6
0.6724507355846772,0.6751777213532989,2,U2OS,6
0.6742893815501662,0.6611165354377084,3,U2OS,6
0.6678776981394396,0.686573944860281,4,U2OS,6
0.60495583045553,0.6142299149886126,0,U2OS,7
0.6125699309113766,0.6023092719909031,1,U2OS,7
0.6057405495161119,0.6106850809926749,2,U2OS,7
0.607971189139582,0.592731181769655,3,U2OS,7
0.599864419420739,0.6135673836352511,4,U2OS,7
0.32435662144500543,0.32563269153569385,0,U2OS,8
0.32455408577153977,0.299991058604576,1,U2OS,8
0.27654411798865486,0.3613094446337566,2,U2OS,8
0.3326697550100024,0.3413596258296969,3,U2OS,8
0.2885017041247441,0.2848948173663264,4,U2OS,8
