train,test,fold,cell,iteration
0.9616749946476659,0.717073487881071,0,HELA,0
0.9617120667948904,0.7580251923209387,1,HELA,0
0.9645449882275716,0.7360153831032852,2,HELA,0
0.9623658458386708,0.7446712944294784,3,HELA,0
0.9658255274903155,0.7416173722395775,4,HELA,0
0.9622803341764271,0.7187797864622498,0,HELA,1
0.9610949032318763,0.7609653530718934,1,HELA,1
0.964529942432037,0.7282622010007369,2,HELA,1
0.9628905253696092,0.747198320731318,3,HELA,1
0.9649884434104037,0.7414509633358277,4,HELA,1
0.9621756718569043,0.7142354485225549,0,HELA,2
0.9614336990359671,0.7597852341789013,1,HELA,2
0.9649490273916119,0.732004676698544,2,HELA,2
0.9629996259738859,0.7467597095995915,3,HELA,2
0.9654762191161175,0.7389352641771378,4,HELA,2
0.9617254372272062,0.7195883792510903,0,HELA,3
0.9612948633096507,0.7600550493563166,1,HELA,3
0.9646215318686902,0.7305742082742199,2,HELA,3
0.9626993834754645,0.7502318128779697,3,HELA,3
0.9649388042242575,0.7385407428703705,4,HELA,3
0.9618107673771257,0.7173696323762833,0,HELA,4
0.9613090080993112,0.7652689752184759,1,HELA,4
0.9642585471451027,0.7292336045091655,2,HELA,4
0.9626677966440376,0.7442204309709295,3,HELA,4
0.9649620057103909,0.7365823740647293,4,HELA,4
