train,test,fold,cell,iteration
0.8730174480425462,0.7758371789248436,0,PC3,0
0.8730930461585609,0.7723525983237414,1,PC3,0
0.8724969869480093,0.7742501178689007,2,PC3,0
0.8757752779013157,0.7684719410371315,3,PC3,0
0.8727087566779137,0.7799816694456659,4,PC3,0
0.8733363813832562,0.7763081153429818,0,PC3,1
0.8730877985721082,0.7749140213850838,1,PC3,1
0.8725962802456384,0.7783569834724335,2,PC3,1
0.8759276885435181,0.7651734854762403,3,PC3,1
0.8731517316673004,0.7809264393219917,4,PC3,1
0.8727632518648335,0.7771324852891626,0,PC3,2
0.8718431524590684,0.7698308377554595,1,PC3,2
0.8717902043107253,0.7765251343195005,2,PC3,2
0.8756150868652376,0.763492043606605,3,PC3,2
0.8727803453704008,0.7800222270238664,4,PC3,2
0.8723475857461951,0.7756744193100332,0,PC3,3
0.8727813881830445,0.7748326524743463,1,PC3,3
0.872190850021639,0.7738952170944142,2,PC3,3
0.8754907823030039,0.7658413327648339,3,PC3,3
0.8727669500762365,0.7790990816074004,4,PC3,3
0.8730349616938531,0.7754308100279516,0,PC3,4
0.8728910803622241,0.7753378257111148,1,PC3,4
0.8720356157765603,0.7761098875842956,2,PC3,4
0.8752120435391342,0.7644468512687351,3,PC3,4
0.8732445391884363,0.7815939505250785,4,PC3,4
