train,test,fold,cell,iteration
0.6992868083859506,0.7304890214578039,0,HEPG2,0
0.7065063269996015,0.6760514639126688,1,HEPG2,0
0.7009213197474571,0.6859815180706812,2,HEPG2,0
0.7064960660795367,0.7168184496380512,3,HEPG2,0
0.7067723105145782,0.7022847898520941,4,HEPG2,0
0.6811812397523709,0.7227204146655399,0,HEPG2,1
0.7039029126712183,0.6653033914100575,1,HEPG2,1
0.6919567631691026,0.6722433607154457,2,HEPG2,1
0.6955851072185278,0.7059512595812156,3,HEPG2,1
0.6935029102901489,0.6860292591365253,4,HEPG2,1
0.6932151854845567,0.7258220615669312,0,HEPG2,2
0.6994690365649289,0.656061840357155,1,HEPG2,2
0.701451599551913,0.6885558905881903,2,HEPG2,2
0.694735616659747,0.7082702894341132,3,HEPG2,2
0.6945241992107563,0.6860814408046814,4,HEPG2,2
0.6785473470396519,0.7186227437790517,0,HEPG2,3
0.6917080735883676,0.6662359035447207,1,HEPG2,3
0.6896383718290015,0.6743724739515213,2,HEPG2,3
0.6909751166990505,0.6961457668675728,3,HEPG2,3
0.6890648169978462,0.676586120568368,4,HEPG2,3
0.6982522779167,0.7343162526405171,0,HEPG2,4
0.7104937927406407,0.676763768106698,1,HEPG2,4
0.7062789810569324,0.6969837115640676,2,HEPG2,4
0.701967648169973,0.7129524362392174,3,HEPG2,4
0.706355037487765,0.6983098037607578,4,HEPG2,4
0.7136092707555153,0.7519141889806256,0,HEPG2,5
0.7265121865248247,0.6951958703535303,1,HEPG2,5
0.7218922629950477,0.706035816422804,2,HEPG2,5
0.7194263064097889,0.7307437767677047,3,HEPG2,5
0.7254009062866906,0.7226461398067794,4,HEPG2,5
0.48543123373872643,0.5272924855659025,0,HEPG2,6
0.5098712823890238,0.46286939477710654,1,HEPG2,6
0.49785931531253796,0.4926983114452557,2,HEPG2,6
0.4937127797995945,0.5152053000586101,3,HEPG2,6
0.48934319678869076,0.48458627097970886,4,HEPG2,6
0.28329936677162104,0.30731794984539873,0,HEPG2,7
0.2907415504971088,0.2601202433247871,1,HEPG2,7
0.2757184792197533,0.29166345799805715,2,HEPG2,7
0.28961752276759234,0.2891057038354521,3,HEPG2,7
0.27885271637411935,0.27622794464608214,4,HEPG2,7
0.27628593001287677,0.3366774538684011,0,HEPG2,8
0.3049012940172881,0.25919434100575867,1,HEPG2,8
0.2837076507616419,0.23800734990708117,2,HEPG2,8
0.27176955180973084,0.3097500171557668,3,HEPG2,8
0.2803667898810934,0.273625065975762,4,HEPG2,8
