train,test,fold,cell,iteration
0.7338217584597608,0.7258413508357615,0,PC3,0
0.7238111193730278,0.717678668608354,1,PC3,0
0.7250910137724649,0.7387152272606456,2,PC3,0
0.7304563854753199,0.7447275169313787,3,PC3,0
0.7326018498376439,0.7101640793624838,4,PC3,0
0.735042251899127,0.7185586256613966,0,PC3,1
0.7256626327237432,0.715508672188329,1,PC3,1
0.7257852262301743,0.7437632847743112,2,PC3,1
0.7255917458656573,0.738708979452874,3,PC3,1
0.7337181897788326,0.7164346186183239,4,PC3,1
0.7386991308052626,0.719378951304352,0,PC3,2
0.7358155994998543,0.7205696766631465,1,PC3,2
0.7196967412637203,0.7462523675673537,2,PC3,2
0.7292607705275543,0.7420436284775237,3,PC3,2
0.7340746070410524,0.7196620878974719,4,PC3,2
0.7159002069755072,0.7035858860462226,0,PC3,3
0.7221721628136966,0.7158810453763864,1,PC3,3
0.7117680597445828,0.7296165921558372,2,PC3,3
0.7152791885993963,0.7310552528449829,3,PC3,3
0.7203625268394378,0.7004962237258274,4,PC3,3
0.7457597674037402,0.7264129282359552,0,PC3,4
0.7392940689388009,0.7284967294595808,1,PC3,4
0.7292503623161031,0.7508153344129396,2,PC3,4
0.7367846964427862,0.7504015034584481,3,PC3,4
0.7493924495627337,0.7307710464003399,4,PC3,4
0.763258416996357,0.7469393961764923,0,PC3,5
0.7531154307413167,0.7355926939709558,1,PC3,5
0.7518253623161397,0.770603742128007,2,PC3,5
0.7534675944708935,0.763832419531819,3,PC3,5
0.7606240473229549,0.7441906130581112,4,PC3,5
0.5527835733179741,0.5327863275111175,0,PC3,6
0.5408771940494301,0.526565428823033,1,PC3,6
0.5349543955822613,0.5631919697167357,2,PC3,6
0.5409964625534932,0.5576853840435714,3,PC3,6
0.5490653693200906,0.5300455304695736,4,PC3,6
0.38628803914536924,0.3685749897667221,0,PC3,7
0.38381993377202855,0.3526110750091911,1,PC3,7
0.38631917853394254,0.40939874013449495,2,PC3,7
0.37617279735507425,0.41468352450069446,3,PC3,7
0.39213756413653944,0.3615865381151475,4,PC3,7
0.337037184226446,0.3403780783312109,0,PC3,8
0.3168096116360858,0.3080129361377594,1,PC3,8
0.3491738673795699,0.3524825229669106,2,PC3,8
0.34333433450876527,0.3205903144843276,3,PC3,8
0.3137184931053208,0.32997048357665104,4,PC3,8
