,folder,variable,value
0,A375_HT29,x_1,1.0000000063412362
1,A375_PC3,x_1,1.0000000160270608
2,HA1E_VCAP,x_1,0.999999980347112
3,HT29_MCF7,x_1,0.9999999842876568
4,HT29_PC3,x_1,1.0000000087935215
5,MCF7_HA1E,x_1,0.9999999842061202
6,MCF7_PC3,x_1,0.9999999947562258
7,PC3_HA1E,x_1,1.000000017645002
8,A375_HT29,x_2,1.0000000180651305
9,A375_PC3,x_2,0.9999999849608632
10,HA1E_VCAP,x_2,1.0000000246808687
11,HT29_MCF7,x_2,0.9965167988902596
12,HT29_PC3,x_2,1.0000000097802415
13,MCF7_HA1E,x_2,1.0000000136766825
14,MCF7_PC3,x_2,1.0000000056843332
15,PC3_HA1E,x_2,0.9999999811101253
16,A375_HT29,x_3,0.9999999830779052
17,A375_PC3,x_3,0.9999999704081629
18,HA1E_VCAP,x_3,1.0000000242894054
19,HT29_MCF7,x_3,0.9999999690098796
20,HT29_PC3,x_3,1.000000004495502
21,MCF7_HA1E,x_3,0.9999999889910433
22,MCF7_PC3,x_3,1.0000000148325086
23,PC3_HA1E,x_3,0.9999999737497219
24,A375_HT29,x_4,1.0000000100899227
25,A375_PC3,x_4,0.999999931538171
26,HA1E_VCAP,x_4,0.9999999761545616
27,HT29_MCF7,x_4,1.0000000155989572
28,HT29_PC3,x_4,1.0000000037885282
29,MCF7_HA1E,x_4,0.9999998830482385
30,MCF7_PC3,x_4,1.000000002168881
31,PC3_HA1E,x_4,1.0000000263317448
32,A375_HT29,x_5,1.0000000174752721
33,A375_PC3,x_5,0.9999998700273168
34,HA1E_VCAP,x_5,0.9999999677202225
35,HT29_MCF7,x_5,0.9999999952286801
36,HT29_PC3,x_5,0.999999992994764
37,MCF7_HA1E,x_5,0.9999999908552081
38,MCF7_PC3,x_5,1.0000000000684013
39,PC3_HA1E,x_5,1.000000037753298
40,A375_HT29,x_6,0.9999999928249216
41,A375_PC3,x_6,0.9999999982437964
42,HA1E_VCAP,x_6,1.0000000094557377
43,HT29_MCF7,x_6,0.999999999283897
44,HT29_PC3,x_6,0.999999984066396
45,MCF7_HA1E,x_6,0.9999999934736541
46,MCF7_PC3,x_6,0.9999999942337991
47,PC3_HA1E,x_6,1.0000000159811935
48,A375_HT29,x_7,0.9999999970866266
49,A375_PC3,x_7,1.0000000021478355
50,HA1E_VCAP,x_7,0.9999999871264534
51,HT29_MCF7,x_7,1.0000000092598267
52,HT29_PC3,x_7,1.000000000156766
53,MCF7_HA1E,x_7,0.9999999880889482
54,MCF7_PC3,x_7,0.9999999778196209
55,PC3_HA1E,x_7,0.9999994164373314
56,A375_HT29,x_8,0.9999999680171525
57,A375_PC3,x_8,0.9999999643884353
58,HA1E_VCAP,x_8,1.0000000147177408
59,HT29_MCF7,x_8,1.0000000026719664
60,HT29_PC3,x_8,0.9999999510171449
61,MCF7_HA1E,x_8,1.000000031186951
62,MCF7_PC3,x_8,1.0000000049663709
63,PC3_HA1E,x_8,0.9999996802431992
64,A375_HT29,x_9,0.9999999753566587
65,A375_PC3,x_9,0.9999999778916075
66,HA1E_VCAP,x_9,0.9999999830740522
67,HT29_MCF7,x_9,0.999999997766158
68,HT29_PC3,x_9,1.0000000002867466
69,MCF7_HA1E,x_9,0.9999999689057513
70,MCF7_PC3,x_9,0.9999999835149892
71,PC3_HA1E,x_9,0.9999999739251387
72,A375_HT29,x_10,0.9999999991761842
73,A375_PC3,x_10,1.0000000322087015
74,HA1E_VCAP,x_10,1.0000000114653547
75,HT29_MCF7,x_10,0.9999999923822943
76,HT29_PC3,x_10,0.9999999880821425
77,MCF7_HA1E,x_10,0.9999999774595505
78,MCF7_PC3,x_10,0.9999999779828069
79,PC3_HA1E,x_10,0.9999999836836987
80,A375_HT29,x_11,1.000000019009158
81,A375_PC3,x_11,1.0000000044450503
82,HA1E_VCAP,x_11,1.0000000123976163
83,HT29_MCF7,x_11,0.9999999546149732
84,HT29_PC3,x_11,0.9999998492863417
85,MCF7_HA1E,x_11,0.9999999957326101
86,MCF7_PC3,x_11,0.9999999406330057
87,PC3_HA1E,x_11,0.9999999846310015
88,A375_HT29,x_12,1.0000000171541914
89,A375_PC3,x_12,0.9999999841300364
90,HA1E_VCAP,x_12,0.9999999825668001
91,HT29_MCF7,x_12,0.9999999884043956
