,itearation,variable,value
0,0,x_1,1.000000012237762
1,1,x_1,1.0000000048696467
2,2,x_1,0.9999999412883612
3,3,x_1,1.0000000391554118
4,4,x_1,1.0000000351053056
5,0,x_2,0.999999954490832
6,1,x_2,1.0000000067984747
7,2,x_2,1.000000015087318
8,3,x_2,0.9999999804126483
9,4,x_2,1.0000000016350927
10,0,x_3,0.9999999639935209
11,1,x_3,0.99999995767012
12,2,x_3,0.9999999667384751
13,3,x_3,1.0000000212336313
14,4,x_3,0.999999967986563
15,0,x_4,0.9999999983284791
16,1,x_4,0.9999999805339641
17,2,x_4,1.0000000169901366
18,3,x_4,1.00000000188749
19,4,x_4,0.9999999908989828
20,0,x_5,1.000000012371338
21,1,x_5,0.9999994114516715
22,2,x_5,1.0000000026019396
23,3,x_5,0.999999971336785
24,4,x_5,1.0000000025781388
25,0,x_6,0.9999999709399292
26,1,x_6,0.9999998666375934
27,2,x_6,1.0000000035749244
28,3,x_6,1.0000000114725278
29,4,x_6,0.9999999622553367
30,0,x_7,0.9999999997705542
31,1,x_7,0.9999999625685102
32,2,x_7,0.9999999991553689
33,3,x_7,0.9999999793669946
34,4,x_7,0.9999999710745079
35,0,x_8,0.9999999928740583
36,1,x_8,0.9999999671379097
37,2,x_8,1.0000000026799567
38,3,x_8,1.0000000166716894
39,4,x_8,0.9999999970486382
40,0,x_9,1.0000000370816429
41,1,x_9,0.9999999847370562
42,2,x_9,1.0000000064933046
43,3,x_9,0.9999999826270679
44,4,x_9,0.9999999918492742
45,0,x_10,0.9999999564434308
46,1,x_10,0.9999999839414817
47,2,x_10,0.9999999906925476
48,3,x_10,0.9999999902672986
49,4,x_10,1.0000000229638877
50,0,x_11,0.9999999918302838
51,1,x_11,0.999999979448759
52,2,x_11,1.0000000279890653
53,3,x_11,1.0000000364018575
54,4,x_11,0.9999999339188159
55,0,x_12,1.000000007939287
56,1,x_12,0.9999999850119108
57,2,x_12,0.9999999872067555
58,3,x_12,1.000000000219562
59,4,x_12,0.9999999852529107
60,0,x_13,1.0000000387020505
61,1,x_13,0.9999999940935154
62,2,x_13,0.9999999874898466
63,3,x_13,1.000000019817384
64,4,x_13,0.9999999894875315
65,0,x_14,1.000000019914965
66,1,x_14,1.000000036016397
67,2,x_14,1.0000000154118724
68,3,x_14,0.9999999754130605
69,4,x_14,0.9999999646719654
70,0,x_15,1.0000000021045843
71,1,x_15,0.9999999689330825
72,2,x_15,1.000000033900238
73,3,x_15,0.9999999650689699
74,4,x_15,0.9999999629480594
75,0,x_16,1.000000000706953
76,1,x_16,1.0000000095403152
77,2,x_16,0.9999999748484034
78,3,x_16,1.0000000010716767
79,4,x_16,1.0000000318492164
80,0,x_17,1.0000000514097866
81,1,x_17,0.9999999657743314
82,2,x_17,0.9999999805101187
83,3,x_17,0.999999993006689
84,4,x_17,0.9999999769511659
85,0,x_18,1.0000000521173122
86,1,x_18,1.0000000206535298
87,2,x_18,0.9999999693635835
88,3,x_18,1.0000000014078556
89,4,x_18,0.9999999855447934
90,0,x_19,1.0000000103964837
91,1,x_19,0.9999999664623147
92,2,x_19,1.0000000025449016
93,3,x_19,0.999999990219822
94,4,x_19,1.0000000154403448
95,0,x_20,0.9999999917168457
96,1,x_20,0.9999999969427819
97,2,x_20,0.999999987264097
98,3,x_20,1.0000000139332468
99,4,x_20,0.9999999815466231
100,0,x_21,1.0000000039954746
101,1,x_21,1.0000000066090882
102,2,x_21,0.9999999972754843
103,3,x_21,0.999999997326061
104,4,x_21,1.0000000417058528
105,0,x_22,0.9999999998796912
106,1,x_22,1.0000000073839357
107,2,x_22,0.9999999884390967
108,3,x_22,0.99999999818121
109,4,x_22,0.9999999869592421
110,0,x_23,0.999999987701055
111,1,x_23,0.9999999720576659
112,2,x_23,0.9999999814963018
113,3,x_23,0.9999999965737344
114,4,x_23,0.9999999844696564
115,0,x_24,0.999999988694364
116,1,x_24,0.999999983291748
117,2,x_24,0.9999999780641743
118,3,x_24,1.000000019298176
119,4,x_24,0.9999999949720532
120,0,x_25,0.9999993678201085
121,1,x_25,0.9999999922501632
122,2,x_25,0.9999999931780477
123,3,x_25,0.999999956446724
124,4,x_25,0.9999999963349722
125,0,x_26,0.9999995039675001
126,1,x_26,0.9999999871268284
127,2,x_26,0.9999999698414191
128,3,x_26,1.0000000010937946
129,4,x_26,1.0000000394443374
130,0,x_27,0.999999908754755
131,1,x_27,1.0000000018094646
132,2,x_27,0.9999999787456934
133,3,x_27,1.0000000092328072
134,4,x_27,1.0000000220006682
135,0,x_28,0.9999997999936979
136,1,x_28,0.9999999939087701
137,2,x_28,0.9999999855099136
138,3,x_28,0.9999999846919173
139,4,x_28,0.9999999876361203
140,0,x_29,0.9999999835417462
141,1,x_29,1.0000000350738003
142,2,x_29,0.9999999992884083
143,3,x_29,0.9999999780826045
144,4,x_29,1.0000000046963897
145,0,x_30,1.000000047834924
146,1,x_30,1.0000000089217773
147,2,x_30,0.9999999946583287
148,3,x_30,0.9999999932575199
149,4,x_30,0.9999999913845014
0,0,x_1,1.0000000162961187
1,1,x_1,1.000000022648312
2,2,x_1,1.0000000044968447
3,3,x_1,0.9999999925023427
4,4,x_1,1.000000000150599
5,0,x_2,0.9999999951984656
6,1,x_2,0.9999999973112522
7,2,x_2,1.0000000072754311
8,3,x_2,0.999999985172458
9,4,x_2,0.9999999851766093
10,0,x_3,0.9999999949591022
11,1,x_3,1.0000000406926088
12,2,x_3,0.9999999973688798
13,3,x_3,0.9999999207016429
14,4,x_3,1.0000000094636754
15,0,x_4,0.9999999817743874
16,1,x_4,1.0000000509694529
17,2,x_4,1.00000003028084
18,3,x_4,1.0000000056705451
19,4,x_4,0.9999999941992656
20,0,x_5,1.0000000156562874
21,1,x_5,0.9999999856479211
22,2,x_5,0.9999999900422855
23,3,x_5,0.999999955008181
24,4,x_5,0.9999999893544208
25,0,x_6,1.0000000191724947
26,1,x_6,1.0000000314771402
27,2,x_6,1.0000000205671797
28,3,x_6,1.000000003817865
29,4,x_6,1.0000000020665176
30,0,x_7,1.0000000258725326
31,1,x_7,0.9999999679636243
32,2,x_7,1.0000000352619431
33,3,x_7,1.00000003014015
34,4,x_7,0.9999999973753291
35,0,x_8,0.999999987928789
36,1,x_8,1.0000000009498677
37,2,x_8,0.9999999846216955
38,3,x_8,0.9999999954398782
39,4,x_8,1.0000000010723666
40,0,x_9,1.0000000287893842
41,1,x_9,1.0000000002879406
42,2,x_9,0.9999999765162314
43,3,x_9,1.0000000106888436
44,4,x_9,0.9999999717281447
45,0,x_10,1.0000000116114467
46,1,x_10,1.0000000263394844
47,2,x_10,0.9999999873783023
48,3,x_10,0.9999999699034569
49,4,x_10,1.0000000086149128
50,0,x_11,1.000000009332493
51,1,x_11,1.000000008593248
52,2,x_11,0.9999999884084988
53,3,x_11,1.0000000112506153
54,4,x_11,1.0000000165749399
55,0,x_12,1.0000000241910085
56,1,x_12,0.9999999955559883
57,2,x_12,0.9999999908859452
58,3,x_12,0.999999940547008
59,4,x_12,0.9999999998077568
60,0,x_13,1.0000000340547976
61,1,x_13,1.000000009270546
62,2,x_13,0.999999993170572
63,3,x_13,1.0000000089356096
64,4,x_13,1.000000021576026
65,0,x_14,1.0000000225856127
66,1,x_14,0.9999999850994359
67,2,x_14,1.0000000086332579
68,3,x_14,0.9999999958514919
69,4,x_14,1.0000000265007751
70,0,x_15,0.9999999680994096
71,1,x_15,0.9999999943170099
72,2,x_15,1.0000000013742827
73,3,x_15,0.9999999802129558
74,4,x_15,0.9999999871623673
75,0,x_16,0.9999999808256423
76,1,x_16,0.9999999769314325
77,2,x_16,0.9999999863290829
78,3,x_16,0.9999999695258269
79,4,x_16,1.0000000047325577
80,0,x_17,1.0000000505400517
81,1,x_17,0.9999999858056401
82,2,x_17,1.000000005721105
83,3,x_17,0.9999999645247606
84,4,x_17,1.000000045720954
85,0,x_18,0.9976656397344494
86,1,x_18,0.9999999922812753
87,2,x_18,0.9999999782265948
88,3,x_18,0.999999964497146
89,4,x_18,0.9999999968845307
90,0,x_19,1.0000000152445128
91,1,x_19,1.0000000361360633
92,2,x_19,0.9999999792771445
93,3,x_19,0.9999999778763348
94,4,x_19,0.9999999751926607
95,0,x_20,0.9999999840787779
96,1,x_20,1.0000000264568183
97,2,x_20,1.00000000142729
98,3,x_20,0.9999999870662128
99,4,x_20,0.9999999511256997
100,0,x_21,0.9999999205183128
101,1,x_21,0.9999999924691786
102,2,x_21,0.9999999859764338
103,3,x_21,0.9999999669900778
104,4,x_21,1.0000000086662777
105,0,x_22,0.9999999451013721
106,1,x_22,1.0000000150783952
107,2,x_22,1.0000000092152348
108,3,x_22,0.9999999601096577
109,4,x_22,0.9985027273187109
110,0,x_23,1.0000000162104228
111,1,x_23,1.0000000308182513
112,2,x_23,1.0000000037583239
113,3,x_23,0.9999999970418636
114,4,x_23,0.9999999928100662
115,0,x_24,0.9999999905108554
116,1,x_24,1.0000000009175845
117,2,x_24,0.9999999855538719
118,3,x_24,1.0000000032185887
119,4,x_24,1.0000000108167442
120,0,x_25,1.0000000264373226
121,1,x_25,1.000000001680315
122,2,x_25,0.9999999830209948
123,3,x_25,0.9999999875767553
124,4,x_25,0.9999999927185589
125,0,x_26,1.0000000207172646
126,1,x_26,0.9999999943311048
127,2,x_26,1.0000000101524371
128,3,x_26,0.9999999492097633
129,4,x_26,0.9999999861891155
130,0,x_27,0.9999999448135799
131,1,x_27,1.0000000349523883
132,2,x_27,0.9999999961642299
133,3,x_27,0.9999999667173498
134,4,x_27,0.9975381438690659
135,0,x_28,0.999999942727295
136,1,x_28,1.0000000437793486
137,2,x_28,1.000000006547246
138,3,x_28,1.0000000013577912
139,4,x_28,1.0000000028677964
140,0,x_29,1.0000000027493574
141,1,x_29,1.0000000208509625
142,2,x_29,1.0000000061180532
143,3,x_29,0.9999999762361406
144,4,x_29,0.9999999694083
145,0,x_30,0.9999999982239953
146,1,x_30,1.00000000347392
147,2,x_30,1.0000000092294243
148,3,x_30,0.9999999833765292
149,4,x_30,0.9999999954642932
0,0,x_1,1.0000000264166917
1,1,x_1,0.9999999741820985
2,2,x_1,1.0000000163626397
3,3,x_1,1.0000000043015953
4,4,x_1,0.9999999837174514
5,0,x_2,0.999999977946239
6,1,x_2,0.9999999894363194
7,2,x_2,0.9999999672076061
8,3,x_2,1.0000000283160126
9,4,x_2,1.0000000092247818
10,0,x_3,0.9967159177583585
11,1,x_3,0.9999999747924111
12,2,x_3,0.999999987633308
13,3,x_3,1.0000000076284652
14,4,x_3,1.000000009140355
15,0,x_4,1.0000000109019198
16,1,x_4,0.999999967015712
17,2,x_4,0.9999998721564938
18,3,x_4,1.0000000090809855
19,4,x_4,1.0000000026292508
20,0,x_5,1.0000000292702536
21,1,x_5,0.9999999832563828
22,2,x_5,0.9999998799099196
23,3,x_5,0.9999999849309211
24,4,x_5,0.9999999853474325
25,0,x_6,0.9999999827354641
26,1,x_6,0.9999999977039311
27,2,x_6,1.0000000111247
28,3,x_6,0.9999999745564198
29,4,x_6,0.9999999907803624
30,0,x_7,1.000000016547475
31,1,x_7,1.000000044717558
32,2,x_7,0.9999999925748173
33,3,x_7,0.9999999448830685
34,4,x_7,0.9999999882083616
35,0,x_8,0.999999971391997
