,itearation,variable,value,sample_size
0,0,x_1,1.00000004553737,64
1,1,x_1,1.0000000154911857,64
2,2,x_1,0.9999999728314137,64
3,3,x_1,0.9999999999792278,64
4,4,x_1,0.9999993217353218,64
5,5,x_1,1.0000000087081289,64
6,6,x_1,1.0000000077920221,64
7,7,x_1,0.9999701081082887,64
8,8,x_1,0.9999934771516791,64
9,9,x_1,0.999990851372483,64
10,10,x_1,0.9999997961228142,64
11,11,x_1,0.8374500728771284,64
12,12,x_1,0.9999999978497728,64
13,13,x_1,0.9999999765444327,64
14,14,x_1,0.9999976929900452,64
15,15,x_1,1.0000000200706363,64
16,16,x_1,0.9999996517388814,64
17,17,x_1,0.8070093307849402,64
18,18,x_1,0.9999999794691604,64
19,19,x_1,0.9999986242402414,64
20,20,x_1,0.9912700446351892,64
21,21,x_1,1.000000013802786,64
22,22,x_1,1.0000000061271033,64
23,23,x_1,0.9999999655731078,64
24,24,x_1,0.9999773151097368,64
25,25,x_1,0.9999999918767053,64
26,26,x_1,0.9826131694021445,64
27,27,x_1,0.9999999520145266,64
28,28,x_1,0.9999999799534443,64
29,29,x_1,0.9999987750913852,64
30,0,x_2,1.000000024594829,64
31,1,x_2,1.000000021649734,64
32,2,x_2,1.0000000156967612,64
33,3,x_2,0.9999999601365032,64
34,4,x_2,0.999999520452777,64
35,5,x_2,0.9999999942410296,64
36,6,x_2,0.9999999769770159,64
37,7,x_2,0.9999494960440194,64
38,8,x_2,0.9999979864307872,64
39,9,x_2,0.999991820178041,64
40,10,x_2,0.9999998697866663,64
41,11,x_2,0.9999975027678042,64
42,12,x_2,1.0000000215566833,64
43,13,x_2,0.9999999822160726,64
44,14,x_2,0.9999979894052189,64
45,15,x_2,1.0000000318870024,64
46,16,x_2,0.9999989085596988,64
47,17,x_2,0.9999968644663871,64
48,18,x_2,1.0000000004709462,64
49,19,x_2,0.999999286614214,64
50,20,x_2,0.9952388605604486,64
51,21,x_2,1.0000000551685986,64
52,22,x_2,0.9999999923076294,64
53,23,x_2,1.000000001469814,64
54,24,x_2,0.9968182710829899,64
55,25,x_2,0.9999999876843646,64
56,26,x_2,0.9926070433276162,64
57,27,x_2,0.9999999768208612,64
58,28,x_2,0.9999999980711504,64
59,29,x_2,0.9999964133344857,64
60,0,x_3,1.0000000271179914,64
61,1,x_3,1.0000000006554977,64
62,2,x_3,0.9999999798649343,64
63,3,x_3,0.9999998252873109,64
64,4,x_3,0.999999402865574,64
65,5,x_3,1.0000000470055177,64
66,6,x_3,1.0000000051596076,64
67,7,x_3,0.9999947139099948,64
68,8,x_3,0.9999984473194433,64
69,9,x_3,0.999996125336459,64
70,10,x_3,0.9999999225236977,64
71,11,x_3,0.9999964117958511,64
72,12,x_3,0.9999999923696666,64
73,13,x_3,0.9999999425078524,64
74,14,x_3,0.9999995847597428,64
75,15,x_3,1.000000020361469,64
76,16,x_3,0.9999880643747228,64
77,17,x_3,0.9959998090405902,64
78,18,x_3,0.999999912059008,64
79,19,x_3,0.99999941619902,64
80,20,x_3,0.9948077564553078,64
81,21,x_3,1.0000000355938812,64
82,22,x_3,0.9999999744036825,64
83,23,x_3,0.9999999918703958,64
84,24,x_3,0.9998635315649385,64
85,25,x_3,0.9999999797208796,64
86,26,x_3,0.999998278603224,64
87,27,x_3,1.000000003950121,64
88,28,x_3,0.9999999514644845,64
89,29,x_3,0.9999997836323874,64
90,0,x_4,1.000000028716745,64
91,1,x_4,1.0000000342248152,64
92,2,x_4,1.0000000099891515,64
93,3,x_4,0.9999963387865959,64
94,4,x_4,0.9999969078696617,64
95,5,x_4,1.0000000041913752,64
96,6,x_4,0.9999999776595511,64
97,7,x_4,0.9999094891405317,64
98,8,x_4,0.9999747615835566,64
99,9,x_4,0.9970519926313565,64
100,10,x_4,0.999999874882447,64
101,11,x_4,0.9999758085880931,64
102,12,x_4,1.000000002393001,64
103,13,x_4,0.9999999945085614,64
104,14,x_4,0.999998583141891,64
105,15,x_4,1.0000000111444844,64
106,16,x_4,0.9999933112599074,64
107,17,x_4,0.9985160817513142,64
108,18,x_4,0.9999994617851505,64
109,19,x_4,0.9999973105708486,64
110,20,x_4,0.8487889333649374,64
111,21,x_4,0.999999989162585,64
112,22,x_4,1.0000000118246166,64
113,23,x_4,1.0000000041764547,64
114,24,x_4,0.9998764641860343,64
115,25,x_4,0.9999996268472541,64
116,26,x_4,0.9999724975984763,64
117,27,x_4,1.0000000022200708,64
118,28,x_4,0.9999999572324717,64
119,29,x_4,0.9999997515424119,64
120,0,x_5,1.0000000314555417,64
121,1,x_5,1.0000000029964986,64
122,2,x_5,1.0000000316549238,64
123,3,x_5,0.9999961841615961,64
124,4,x_5,0.9999894884933216,64
125,5,x_5,0.9999999829441917,64
126,6,x_5,0.9999999574220133,64
127,7,x_5,0.9999302014188276,64
128,8,x_5,0.9999642352810177,64
129,9,x_5,0.9999933520938038,64
130,10,x_5,1.0000000358765853,64
131,11,x_5,0.9999692131292433,64
132,12,x_5,1.0000000001954485,64
133,13,x_5,0.9999999146380539,64
134,14,x_5,0.9999986605056383,64
135,15,x_5,0.9999999876344815,64
136,16,x_5,0.9999997250266071,64
137,17,x_5,0.9999596262007094,64
138,18,x_5,0.9999997433886361,64
139,19,x_5,0.9999949841886877,64
140,20,x_5,0.8697695083616519,64
141,21,x_5,1.0000000279718602,64
142,22,x_5,1.0000000028417688,64
143,23,x_5,0.9999999894341256,64
144,24,x_5,0.9769668343317448,64
145,25,x_5,0.9999998380579576,64
146,26,x_5,0.9997656114737268,64
147,27,x_5,0.9999999849339041,64
148,28,x_5,1.0000000064215053,64
149,29,x_5,0.9999998747548001,64
150,0,x_6,0.9999999814411522,64
151,1,x_6,0.9999999772814152,64
152,2,x_6,1.0000000092502115,64
153,3,x_6,0.9999999339907875,64
154,4,x_6,0.9999975733767823,64
155,5,x_6,0.9999999919972556,64
156,6,x_6,0.9999999960609872,64
157,7,x_6,0.9999443741542775,64
158,8,x_6,0.9999999687151767,64
159,9,x_6,0.9999977305088205,64
160,10,x_6,0.9999999987875272,64
161,11,x_6,0.999998977310126,64
162,12,x_6,0.9999999695627344,64
163,13,x_6,0.9999998132304311,64
164,14,x_6,0.9999997964713215,64
165,15,x_6,0.9999999878732747,64
166,16,x_6,0.9999996325531767,64
167,17,x_6,0.9889006763614269,64
168,18,x_6,0.9999994046705811,64
169,19,x_6,0.9999773326304056,64
170,20,x_6,0.9999995059297353,64
