iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,0.9999999921002388,32,64,X_1
1,pv_1,0.9999999777288198,32,64,X_1
2,pv_1,0.9999999941558434,32,64,X_1
3,pv_1,0.9999999347651566,32,64,X_1
4,pv_1,1.0000000000208829,32,64,X_1
5,pv_1,1.0000000470241353,32,64,X_1
6,pv_1,0.9999999850594865,32,64,X_1
7,pv_1,0.9999999551382429,32,64,X_1
8,pv_1,0.9999991255783018,32,64,X_1
9,pv_1,0.9999999625866339,32,64,X_1
10,pv_1,0.999999966886661,32,64,X_1
11,pv_1,0.9999999909769506,32,64,X_1
12,pv_1,0.9999999908930631,32,64,X_1
13,pv_1,1.0000000296972624,32,64,X_1
14,pv_1,0.9999999997550715,32,64,X_1
15,pv_1,0.9999999602498096,32,64,X_1
16,pv_1,0.999999959650753,32,64,X_1
17,pv_1,0.9999999870261346,32,64,X_1
18,pv_1,1.0000000120876564,32,64,X_1
19,pv_1,0.9999999978422042,32,64,X_1
20,pv_1,1.0000000077438391,32,64,X_1
21,pv_1,0.9999999905077647,32,64,X_1
22,pv_1,0.9999999891510362,32,64,X_1
23,pv_1,1.000000010861086,32,64,X_1
24,pv_1,0.9999999639149549,32,64,X_1
25,pv_1,1.0000000021996125,32,64,X_1
26,pv_1,1.000000037815673,32,64,X_1
27,pv_1,1.0000000096306583,32,64,X_1
28,pv_1,1.0000000056980833,32,64,X_1
29,pv_1,0.999999827383521,32,64,X_1
0,pv_2,0.9999999851713335,32,64,X_1
1,pv_2,0.9999995808483302,32,64,X_1
2,pv_2,1.0000000146209305,32,64,X_1
3,pv_2,0.9999999569364759,32,64,X_1
4,pv_2,0.9999999959829139,32,64,X_1
5,pv_2,1.000000003820305,32,64,X_1
6,pv_2,0.999999983037976,32,64,X_1
7,pv_2,0.9999996719697944,32,64,X_1
8,pv_2,0.9999990029014827,32,64,X_1
9,pv_2,0.9999999687132985,32,64,X_1
10,pv_2,0.9999999858182567,32,64,X_1
11,pv_2,0.9999999578837633,32,64,X_1
12,pv_2,0.8897085380187064,32,64,X_1
13,pv_2,0.9999997055147474,32,64,X_1
14,pv_2,0.9999999965424414,32,64,X_1
15,pv_2,0.9999999218604365,32,64,X_1
16,pv_2,0.9999999016501301,32,64,X_1
17,pv_2,0.9999999684431378,32,64,X_1
18,pv_2,0.9999999661155857,32,64,X_1
19,pv_2,0.9999999949954727,32,64,X_1
20,pv_2,0.9999999568427759,32,64,X_1
21,pv_2,0.9999999694399162,32,64,X_1
22,pv_2,0.9999999821980167,32,64,X_1
23,pv_2,0.9999999455632227,32,64,X_1
24,pv_2,0.9999999631757388,32,64,X_1
25,pv_2,0.9999999744080337,32,64,X_1
26,pv_2,0.9999999824213949,32,64,X_1
27,pv_2,0.9999999737583695,32,64,X_1
28,pv_2,0.9999998641819423,32,64,X_1
29,pv_2,0.9999998159993985,32,64,X_1
0,pv_3,1.0000000152049906,32,64,X_1
1,pv_3,0.9987220393456376,32,64,X_1
2,pv_3,1.0000000180108244,32,64,X_1
3,pv_3,0.999999592275513,32,64,X_1
4,pv_3,0.9999999907277045,32,64,X_1
5,pv_3,1.0000000192002851,32,64,X_1
6,pv_3,0.9999999627175082,32,64,X_1
7,pv_3,0.9999997615489711,32,64,X_1
8,pv_3,0.9999999795104048,32,64,X_1
9,pv_3,0.9999999681246005,32,64,X_1
10,pv_3,0.9999999712031099,32,64,X_1
11,pv_3,0.9999999415064894,32,64,X_1
12,pv_3,0.9999999544925438,32,64,X_1
13,pv_3,0.9999995672923758,32,64,X_1
14,pv_3,0.9999999808465933,32,64,X_1
15,pv_3,0.9999999744288035,32,64,X_1
16,pv_3,0.9999999367796252,32,64,X_1
17,pv_3,0.9999999425110286,32,64,X_1
18,pv_3,1.000000009349709,32,64,X_1
19,pv_3,0.9999999691988336,32,64,X_1
20,pv_3,0.9999999979234399,32,64,X_1
21,pv_3,0.999999909279968,32,64,X_1
22,pv_3,0.9999999574767642,32,64,X_1
23,pv_3,0.9999999869090654,32,64,X_1
24,pv_3,1.000000002781632,32,64,X_1
25,pv_3,1.0000000153147763,32,64,X_1
26,pv_3,0.9999999465360752,32,64,X_1
27,pv_3,1.0000000005405303,32,64,X_1
28,pv_3,0.9999998402980567,32,64,X_1
29,pv_3,0.999999984836981,32,64,X_1
0,pv_4,0.9999999955812021,32,64,X_1
1,pv_4,0.9999998565053974,32,64,X_1
2,pv_4,0.9999993086966054,32,64,X_1
3,pv_4,0.9999996556256382,32,64,X_1
4,pv_4,0.9999999954544662,32,64,X_1
5,pv_4,0.9999999775767685,32,64,X_1
6,pv_4,1.0000000041660375,32,64,X_1
7,pv_4,0.9999999650045234,32,64,X_1
8,pv_4,0.9999997636654318,32,64,X_1
9,pv_4,0.9999999824841334,32,64,X_1
10,pv_4,0.9999999491074294,32,64,X_1
11,pv_4,0.9999999304765584,32,64,X_1
12,pv_4,0.9999999570696017,32,64,X_1
13,pv_4,1.0000000095805428,32,64,X_1
14,pv_4,0.9999999993692107,32,64,X_1
15,pv_4,0.9999999959069803,32,64,X_1
16,pv_4,0.9999999772106962,32,64,X_1
17,pv_4,1.0000000020016255,32,64,X_1
18,pv_4,0.9984703047872774,32,64,X_1
19,pv_4,1.0000000023812359,32,64,X_1
20,pv_4,0.9999999828882339,32,64,X_1
21,pv_4,0.9999999723017352,32,64,X_1
22,pv_4,1.0000000126675082,32,64,X_1
23,pv_4,0.9999999009389735,32,64,X_1
24,pv_4,0.9999999824592368,32,64,X_1
25,pv_4,0.9999999573248293,32,64,X_1
26,pv_4,0.999999924055286,32,64,X_1
27,pv_4,1.000000013748143,32,64,X_1
28,pv_4,0.9999999979122961,32,64,X_1
29,pv_4,0.9999998737224632,32,64,X_1
0,pv_5,0.9999999960410539,32,64,X_1
1,pv_5,1.0000000241520617,32,64,X_1
2,pv_5,0.9999991331528052,32,64,X_1
3,pv_5,1.0000000052139,32,64,X_1
4,pv_5,0.9999999868178748,32,64,X_1
5,pv_5,0.9999999553837642,32,64,X_1
6,pv_5,0.9999999976998825,32,64,X_1
7,pv_5,0.9999999969599498,32,64,X_1
8,pv_5,0.9999997791196625,32,64,X_1
9,pv_5,0.9999999786392028,32,64,X_1
10,pv_5,0.9999999850543837,32,64,X_1
11,pv_5,1.0000000276204275,32,64,X_1
12,pv_5,1.0000000033665772,32,64,X_1
13,pv_5,1.0000000011325565,32,64,X_1
14,pv_5,0.9999999552589651,32,64,X_1
15,pv_5,0.9999999992365805,32,64,X_1
16,pv_5,0.9999999687965222,32,64,X_1
17,pv_5,1.0000000166972136,32,64,X_1
18,pv_5,0.9999999763157933,32,64,X_1
