iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,0.9999999963827471,32,64,X_2
1,pv_1,0.9999999364013897,32,64,X_2
2,pv_1,0.9999999510366734,32,64,X_2
3,pv_1,1.0000000400854097,32,64,X_2
4,pv_1,1.0000000156009052,32,64,X_2
5,pv_1,0.9999999918353846,32,64,X_2
6,pv_1,1.0000000027856173,32,64,X_2
7,pv_1,1.0000000173390207,32,64,X_2
8,pv_1,0.999999994713559,32,64,X_2
9,pv_1,1.0000000067511112,32,64,X_2
10,pv_1,1.0000000062476455,32,64,X_2
11,pv_1,1.0000000038603898,32,64,X_2
12,pv_1,0.9999999902046688,32,64,X_2
13,pv_1,0.9999993033617809,32,64,X_2
14,pv_1,0.9999999721367119,32,64,X_2
15,pv_1,1.0000000249983012,32,64,X_2
16,pv_1,0.9999999921866477,32,64,X_2
17,pv_1,1.0000000207243327,32,64,X_2
18,pv_1,0.9999999687043134,32,64,X_2
19,pv_1,0.999999977667347,32,64,X_2
20,pv_1,0.999999975885466,32,64,X_2
21,pv_1,0.9999999757623608,32,64,X_2
22,pv_1,0.9999999995702746,32,64,X_2
23,pv_1,0.9999999726179386,32,64,X_2
24,pv_1,0.9999999882798647,32,64,X_2
25,pv_1,1.0000000338355863,32,64,X_2
26,pv_1,0.9999999697431566,32,64,X_2
27,pv_1,0.9999999525089619,32,64,X_2
28,pv_1,0.9999999726931915,32,64,X_2
29,pv_1,0.9999999806839616,32,64,X_2
0,pv_2,0.9999997895896986,32,64,X_2
1,pv_2,0.9999977705496399,32,64,X_2
2,pv_2,0.9999999192720325,32,64,X_2
3,pv_2,1.0000000077557083,32,64,X_2
4,pv_2,0.9999999936295363,32,64,X_2
5,pv_2,0.9999999786940326,32,64,X_2
6,pv_2,0.9999999003797594,32,64,X_2
7,pv_2,0.9999999851154918,32,64,X_2
8,pv_2,1.0000000279097143,32,64,X_2
9,pv_2,0.999999963469114,32,64,X_2
10,pv_2,0.9999998677547561,32,64,X_2
11,pv_2,0.9999999728734308,32,64,X_2
