iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,0.9999999786266809,32,64,X_1
1,pv_1,0.9999999708866524,32,64,X_1
2,pv_1,0.9999999938950376,32,64,X_1
3,pv_1,0.9999999735310882,32,64,X_1
4,pv_1,0.9999999878701049,32,64,X_1
5,pv_1,0.999999966285777,32,64,X_1
6,pv_1,0.9999999765538984,32,64,X_1
7,pv_1,0.999999960913731,32,64,X_1
8,pv_1,0.9999998461102119,32,64,X_1
9,pv_1,0.9999999911502886,32,64,X_1
10,pv_1,0.9999998845950889,32,64,X_1
11,pv_1,0.9999998901646484,32,64,X_1
12,pv_1,0.9999994322993203,32,64,X_1
13,pv_1,0.9999999801519638,32,64,X_1
14,pv_1,0.9999999863202018,32,64,X_1
15,pv_1,0.9999996843810586,32,64,X_1
16,pv_1,1.0000000072932884,32,64,X_1
17,pv_1,0.9999999822874059,32,64,X_1
18,pv_1,0.9999999178774865,32,64,X_1
19,pv_1,1.000000006976855,32,64,X_1
20,pv_1,1.0000000128214026,32,64,X_1
21,pv_1,0.9999999659969083,32,64,X_1
22,pv_1,0.9999997883421496,32,64,X_1
23,pv_1,0.9999999898307431,32,64,X_1
24,pv_1,0.9999999720181318,32,64,X_1
25,pv_1,1.0000000019999387,32,64,X_1
26,pv_1,0.9999999889010076,32,64,X_1
27,pv_1,0.9999999871603659,32,64,X_1
28,pv_1,1.0000000205245017,32,64,X_1
29,pv_1,0.9999999416812398,32,64,X_1
0,pv_2,0.9999999633527022,32,64,X_1
1,pv_2,1.0000000302172636,32,64,X_1
2,pv_2,0.9999999664268184,32,64,X_1
3,pv_2,0.9999999911307403,32,64,X_1
4,pv_2,0.9999999617115404,32,64,X_1
5,pv_2,1.000000005306859,32,64,X_1
6,pv_2,0.9999995048404661,32,64,X_1
7,pv_2,0.9999999746066432,32,64,X_1
8,pv_2,0.9999998975076839,32,64,X_1
9,pv_2,0.9999999101274937,32,64,X_1
10,pv_2,0.9999999733424094,32,64,X_1
11,pv_2,0.999999935763305,32,64,X_1
12,pv_2,0.9999993940587527,32,64,X_1
13,pv_2,0.9999999124543132,32,64,X_1
14,pv_2,0.9999999694461046,32,64,X_1
15,pv_2,0.9932063479902442,32,64,X_1
16,pv_2,1.0000000005081378,32,64,X_1
17,pv_2,0.9999999724891215,32,64,X_1
18,pv_2,0.9999999516152813,32,64,X_1
19,pv_2,1.0000000040365236,32,64,X_1
20,pv_2,0.9999999718130869,32,64,X_1
21,pv_2,0.9999999559849343,32,64,X_1
22,pv_2,0.9999998062620443,32,64,X_1
23,pv_2,1.0000000051793694,32,64,X_1
24,pv_2,0.9999999717748882,32,64,X_1
25,pv_2,0.9999999220926634,32,64,X_1
26,pv_2,1.0000000033673395,32,64,X_1
27,pv_2,0.9999999727506761,32,64,X_1
28,pv_2,1.000000007735774,32,64,X_1
29,pv_2,0.9999999469738301,32,64,X_1
0,pv_3,0.9999999472660132,32,64,X_1
1,pv_3,1.0000000144994017,32,64,X_1
2,pv_3,0.9999999038409431,32,64,X_1
3,pv_3,0.9999999652671197,32,64,X_1
4,pv_3,0.9999999796955722,32,64,X_1
5,pv_3,0.9999999835240042,32,64,X_1
6,pv_3,0.9999994946437684,32,64,X_1
7,pv_3,0.9999999581688771,32,64,X_1
8,pv_3,0.9999999655953236,32,64,X_1
9,pv_3,0.9999999257629312,32,64,X_1
10,pv_3,1.0000000088074261,32,64,X_1
11,pv_3,0.9999999559637389,32,64,X_1
12,pv_3,0.999999872004706,32,64,X_1
13,pv_3,0.9999999426214322,32,64,X_1
14,pv_3,1.000000004802312,32,64,X_1
15,pv_3,0.9999999732933155,32,64,X_1
16,pv_3,1.0000000211653393,32,64,X_1
17,pv_3,0.9999999907312442,32,64,X_1
18,pv_3,0.9999999555468222,32,64,X_1
19,pv_3,0.9999999873613461,32,64,X_1
20,pv_3,1.0000000184767524,32,64,X_1
21,pv_3,1.0000000081878728,32,64,X_1
22,pv_3,1.0000000065094408,32,64,X_1
23,pv_3,0.9999999934849715,32,64,X_1
24,pv_3,0.9999999936626445,32,64,X_1
25,pv_3,0.9999998081223722,32,64,X_1
26,pv_3,0.9999999258204376,32,64,X_1
27,pv_3,0.9999999515004041,32,64,X_1
28,pv_3,0.9999998733435499,32,64,X_1
29,pv_3,0.9999999915796333,32,64,X_1
0,pv_4,0.9999999932978196,32,64,X_1
1,pv_4,0.9999999666329918,32,64,X_1
2,pv_4,0.9984637728302855,32,64,X_1
3,pv_4,0.9999999870762756,32,64,X_1
4,pv_4,0.999999988870034,32,64,X_1
5,pv_4,0.9999999687813097,32,64,X_1
6,pv_4,0.9999999528410415,32,64,X_1
7,pv_4,0.9999999689425713,32,64,X_1
8,pv_4,0.9999999397639552,32,64,X_1
9,pv_4,0.9999999210059077,32,64,X_1
10,pv_4,0.9999999722781733,32,64,X_1
11,pv_4,1.0000000017304003,32,64,X_1
12,pv_4,0.9999999419350318,32,64,X_1
13,pv_4,0.9999999991649487,32,64,X_1
14,pv_4,0.9999999943782013,32,64,X_1
15,pv_4,0.9999999790884764,32,64,X_1
16,pv_4,0.9999999776504573,32,64,X_1
17,pv_4,1.0000000156799185,32,64,X_1
18,pv_4,0.9999999364691807,32,64,X_1
19,pv_4,0.9999999867624708,32,64,X_1
20,pv_4,0.9999998655840258,32,64,X_1
21,pv_4,0.9999999830385872,32,64,X_1
22,pv_4,0.9999999494890986,32,64,X_1
23,pv_4,1.000000026560533,32,64,X_1
24,pv_4,0.9999998354851694,32,64,X_1
25,pv_4,0.9999999443872006,32,64,X_1
26,pv_4,0.9999998876623032,32,64,X_1
27,pv_4,0.9999999839693948,32,64,X_1
28,pv_4,0.9999998756731711,32,64,X_1
29,pv_4,0.9999999655730741,32,64,X_1
0,pv_5,1.0000000101559074,32,64,X_1
1,pv_5,0.9999999594566071,32,64,X_1
2,pv_5,1.0000000029027323,32,64,X_1
3,pv_5,0.9999999620896296,32,64,X_1
4,pv_5,1.0000000197273087,32,64,X_1
5,pv_5,0.9999999937190158,32,64,X_1
6,pv_5,0.9999999712618759,32,64,X_1
7,pv_5,0.9999999852150726,32,64,X_1
8,pv_5,0.9999998923836966,32,64,X_1
9,pv_5,0.9999999777788127,32,64,X_1
10,pv_5,0.9999999963601449,32,64,X_1
11,pv_5,0.9999999666180752,32,64,X_1
12,pv_5,0.9999999763435299,32,64,X_1
13,pv_5,0.9999999831331723,32,64,X_1
14,pv_5,0.9999999792526432,32,64,X_1
15,pv_5,0.9999999468616176,32,64,X_1
16,pv_5,0.9999999772717894,32,64,X_1
17,pv_5,0.9999999712583341,32,64,X_1
18,pv_5,0.9999999523939828,32,64,X_1
19,pv_5,0.9999999869913558,32,64,X_1
20,pv_5,0.9999998607671091,32,64,X_1
21,pv_5,1.0000000074506017,32,64,X_1
22,pv_5,0.9999999555833942,32,64,X_1
23,pv_5,1.0000000099814947,32,64,X_1
24,pv_5,0.9999999465086296,32,64,X_1
25,pv_5,0.9999999482856702,32,64,X_1
26,pv_5,0.9999999992377586,32,64,X_1
27,pv_5,0.9999999974837377,32,64,X_1
28,pv_5,1.000000015231644,32,64,X_1
29,pv_5,0.9999999929445514,32,64,X_1
0,pv_6,1.0000000121591046,32,64,X_1
1,pv_6,1.0000000128501114,32,64,X_1
2,pv_6,1.000000007710155,32,64,X_1
3,pv_6,0.9999999395753506,32,64,X_1
4,pv_6,1.0000000167902292,32,64,X_1
5,pv_6,0.9999999643457007,32,64,X_1
6,pv_6,0.9999999983473721,32,64,X_1
7,pv_6,1.0000000023455933,32,64,X_1
8,pv_6,0.9999999874444416,32,64,X_1
9,pv_6,0.9999999948262603,32,64,X_1
10,pv_6,0.9999999608496624,32,64,X_1
11,pv_6,0.9999998306362587,32,64,X_1
12,pv_6,1.0000000172891006,32,64,X_1
13,pv_6,1.0000000190493035,32,64,X_1
14,pv_6,1.0000000117000216,32,64,X_1
15,pv_6,1.000000006704917,32,64,X_1
16,pv_6,0.9999999644275838,32,64,X_1
17,pv_6,0.9999999689116882,32,64,X_1
18,pv_6,0.9999999819584923,32,64,X_1
19,pv_6,1.0000000185055828,32,64,X_1
20,pv_6,0.9999999923698127,32,64,X_1
21,pv_6,0.9999999730976593,32,64,X_1
22,pv_6,1.000000007022482,32,64,X_1
23,pv_6,1.0000000277913728,32,64,X_1
24,pv_6,0.9931241457260218,32,64,X_1
25,pv_6,0.9999999748294607,32,64,X_1
26,pv_6,0.9932241982362442,32,64,X_1
27,pv_6,0.9999999789550229,32,64,X_1
28,pv_6,0.9999999606809424,32,64,X_1
