feature_size,sample_size,avg_cpu_time,std_cpu_time,avg_gpu_time,std_gpu_time,avg_speedup,std_speedup
64,32,0.06237298999999948,0.004931714227070113,0.5286786433333338,0.285052808468993,0.12693079237637192,0.018664301915339458
64,64,0.08581366999999838,0.0036934457851287056,0.4913952500000008,0.046392646999711615,0.17596812350391458,0.016830055223806328
64,128,0.15487950333333486,0.003955672459375499,0.4972457833333318,0.04988153682662807,0.31434883495838484,0.030965222875026614
64,256,0.37893412666666487,0.011769341613814334,0.48254608333333426,0.047378046981773454,0.7907477498572052,0.06106651483673188
64,512,0.8761210733333352,0.02882912212344393,0.6496745566666656,0.050773914723644266,1.3560752934704374,0.10981410609249666
64,1024,2.5068309833333426,0.061502191650521926,0.8045348133333334,0.04117350925168626,3.124082912080646,0.1832635437952173
128,32,0.061030873333339744,0.0027031154716526612,0.5099227333333336,0.036662737183262274,0.12004580208982323,0.006817929769177632
128,64,0.08904620333333355,0.0037267295571313565,0.5000210266666595,0.03129279322433879,0.1785178681328724,0.009714278051551752
128,128,0.15311027333332278,0.004028449934459507,0.5066346099999957,0.03987325362461241,0.30400540948998206,0.025003414784877925
128,256,0.26790975666666555,0.007339004558399338,0.5136274999999955,0.05564059450357532,0.5264454071473607,0.048396057427302235
128,512,0.6979906266666717,0.017426779439630027,0.6677177433333402,0.04022209814173459,1.0484127299412094,0.05821477683910214
128,1024,2.3884270433333312,0.037129055331410275,0.80101481,0.0428930381476915,2.989648659555859,0.15992185239572873
256,32,0.06148228333333539,0.0021362813588511496,0.5308895166666768,0.03847826563696089,0.11621801365770888,0.006921256192575357
256,64,0.08918467000000874,0.00403842268397519,0.5216765633333277,0.03443515028912886,0.17152748004077492,0.011590354842549652
256,128,0.15308209999999084,0.005558088443911474,0.5712234799999995,0.09992197593912437,0.2732720654342502,0.03357421318105101
256,256,0.26902489666667484,0.007716257074579651,0.5733876366666664,0.04953682691834482,0.47231706873535545,0.04040453930775657
256,512,0.6956074233333311,0.012750772931938305,0.6819573533333331,0.043065001989071025,1.0239762090624263,0.06747969106723775
256,1024,2.402214526666656,0.030599732492693328,0.8302035899999964,0.05367741866237554,2.905216791990658,0.19073076484577164
512,32,0.06617595666664329,0.002322891329222426,0.5220654666666784,0.04317898852178109,0.127380119332621,0.008763957073025522
512,64,0.08793586999999357,0.0030897123353812498,0.5254109933333514,0.027687206475502036,0.16780560613899845,0.010318465426331839
512,128,0.15078096666669202,0.0048203079492284825,0.5560203266666803,0.02635817628440456,0.2717090977446254,0.014666287016118128
512,256,0.2793889466666769,0.00646991923462828,0.5512067533333569,0.037692372770578436,0.5088048304782405,0.0315928948282395
512,512,0.7179234266666374,0.015230986398855678,0.6773845500000031,0.0418983141596517,1.0629675662868194,0.056985256783476344
512,1024,2.4657767900000107,0.028675212503000615,0.8191456266666819,0.04393876847983955,3.0175684113295853,0.14622233264549936
1024,32,0.06963607333334494,0.002200061199467365,0.5203618500000176,0.0431525947783669,0.13446872963511064,0.008901774215995108
1024,64,0.09153318000001794,0.0033301021019257115,0.5495761433333655,0.029621199302876596,0.16688575935409383,0.00863473680737207
1024,128,0.16313956333333407,0.004449446383753019,0.5526605133333533,0.033119814331208745,0.29610286906239447,0.017810556074425433
1024,256,0.2974452399999942,0.0072121118896357524,0.5662751900000103,0.043226549427937966,0.5280959473799952,0.04081826492946593
1024,512,0.7624678999999939,0.015850176000729365,0.6993007866666631,0.04378783328208653,1.0947786911026833,0.07829474808685305
1024,1024,2.6418462300000103,0.03028614713992511,0.837868083333342,0.05077559656038924,3.164180481922137,0.19430718851020354
2048,32,0.07179418999997628,0.0025379538501887817,0.5511112433333589,0.030258850477948192,0.1305399061311324,0.006645929245950345
2048,64,0.10201116333328172,0.0037040002577224183,0.5532563166666326,0.03388146163730176,0.1849186477574973,0.01117220900067731
2048,128,0.18330056666665465,0.005575225721482275,0.5604486599999897,0.03943980982994373,0.32849156685936526,0.023284256595345786
2048,256,0.3350646733333633,0.007233910275830504,0.5655276433332953,0.05077477515615804,0.596394471792098,0.04725867334390259
2048,512,0.87636065,0.01941967526706086,0.6752651699999206,0.0318379659860015,1.3006574581563586,0.07031294552121706
2048,1024,3.053100553333388,0.05479964281589591,0.8063947533334158,0.04032218732574845,3.794013628234227,0.17488681966944236
