iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,0.9999999760931204,32,64,X_2
1,pv_1,0.9999999846771891,32,64,X_2
2,pv_1,1.00000002280161,32,64,X_2
3,pv_1,0.9999999533240389,32,64,X_2
4,pv_1,0.9999999912967973,32,64,X_2
5,pv_1,0.9999999994889641,32,64,X_2
6,pv_1,0.9999999755737474,32,64,X_2
7,pv_1,0.9999999129980253,32,64,X_2
8,pv_1,0.9999999750497051,32,64,X_2
9,pv_1,0.9999999945718303,32,64,X_2
10,pv_1,1.0000000194656233,32,64,X_2
11,pv_1,1.0000000003671703,32,64,X_2
12,pv_1,0.9999999875102376,32,64,X_2
13,pv_1,0.9999999776989823,32,64,X_2
14,pv_1,1.0000000065813839,32,64,X_2
15,pv_1,0.9999999735394094,32,64,X_2
16,pv_1,0.9999999739897122,32,64,X_2
17,pv_1,0.9999999692007896,32,64,X_2
18,pv_1,1.00000002008149,32,64,X_2
19,pv_1,0.9999999986129309,32,64,X_2
20,pv_1,0.9999999889309082,32,64,X_2
21,pv_1,0.999999967130836,32,64,X_2
22,pv_1,0.9999999635118835,32,64,X_2
23,pv_1,1.0000000068156585,32,64,X_2
24,pv_1,0.9999999924504828,32,64,X_2
25,pv_1,0.9999999927053879,32,64,X_2
26,pv_1,0.9999999806598926,32,64,X_2
27,pv_1,0.9999999383933702,32,64,X_2
28,pv_1,1.0000000161765257,32,64,X_2
29,pv_1,0.9999999145717671,32,64,X_2
0,pv_2,0.999999978175963,32,64,X_2
1,pv_2,0.999999962550434,32,64,X_2
2,pv_2,1.0000000046255542,32,64,X_2
3,pv_2,0.9999999877390947,32,64,X_2
4,pv_2,1.0000000227252595,32,64,X_2
5,pv_2,0.9999999876904716,32,64,X_2
6,pv_2,0.9999999862373367,32,64,X_2
7,pv_2,0.9999997958503514,32,64,X_2
8,pv_2,0.99999997329414,32,64,X_2
9,pv_2,0.9999999411686578,32,64,X_2
10,pv_2,0.9999999687306911,32,64,X_2
11,pv_2,0.9999999941550168,32,64,X_2
12,pv_2,1.0000000165667398,32,64,X_2
13,pv_2,0.9999999857476131,32,64,X_2
14,pv_2,0.9999998851383629,32,64,X_2
15,pv_2,0.9999972474845696,32,64,X_2
16,pv_2,0.9999999706529575,32,64,X_2
17,pv_2,1.0000000340667055,32,64,X_2
18,pv_2,1.0000000123449344,32,64,X_2
19,pv_2,0.999999916726933,32,64,X_2
20,pv_2,0.9999999336079816,32,64,X_2
21,pv_2,1.0000000055487166,32,64,X_2
22,pv_2,0.9999999722240893,32,64,X_2
23,pv_2,1.0000000064245036,32,64,X_2
24,pv_2,0.9999999321922708,32,64,X_2
25,pv_2,1.0000000053190465,32,64,X_2
